"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",0.467350220479224,0.467350220479224,1.92682926829268,3.69575380130739,0,0,0,0,0,0,0,0,0.536823765328168,6.53559543686215,0.939639908902904,1,0,1
"g2",0.530218316495513,0.530218316495513,1.31707317073171,6.17309393366337,0,0,0,0,0,0,0,0,2.56003898934851,6.59083937495194,2.22865824693382,1,0,1
"g3",0.997377365753751,0.997377365753751,0.536585365853659,0.830121676952534,0,0,0,0,0,0,0,0,1.49745889057677,3.57719008482961,0.629515109324187,1,0,1
"g4",0.597883533951557,0.597883533951557,1.80487804878049,9.2657229663057,0,0,0,0,0,0,0,0,1.39585300508187,6.34902037084363,2.36000218720191,1,0,1
"g5",0.169324197070719,0.169324197070719,980.243902439024,1870.52305679791,0,0,0,0,0,0,0,0,0.825253882949353,15.1228869924295,0.932229081555062,1,0,1
"g6",0.0969300279483697,0.0969300279483697,221.731707317073,708.090255192902,0,0,0,0,0,0,0,0,1.25265572170428,13.3600496693401,1.67511817374695,1,0,1
"g7",0.0470494211325458,0.0470494211325458,182.842105263158,478.402379743819,0,0,0,0,0,0,0,0,1.27284405858298,12.9944899423189,1.38762623054073,1,0,1
"g8",0.0375747698809573,0.0375747698809573,459.210526315789,1642.32535070656,0,0,0,0,0,0,0,0,2.17577039284781,14.4149479500704,1.83851234075631,1,0,1
"g9",0.410548399658848,0.410548399658848,32.1929824561403,84.9945127554275,0,0,0,0,0,0,0,0,1.41673973591872,9.96853753479516,1.40062346520635,1,0,1
"g10",0.0995966957626333,0.0995966957626333,307.333333333333,975.421212971466,0,0,0,0,0,0,0,0,1.84540656046741,13.5824994327004,1.66622109778988,1,0,1
"g11",0.233709075957399,0.233709075957399,43.4385964912281,71.7341286191357,0,0,0,0,0,0,0,0,0.561103138841794,10.5075962595677,0.723682176534127,1,0,1
"g12",0.046809910823104,0.046809910823104,221.634146341463,505.559761406175,0,0,0,0,0,0,0,0,1.26091119624923,13.2163698015527,1.18970147174504,1,0,1
"g13",0.061695832674352,0.061695832674352,473.90243902439,1077.95696212328,0,0,0,0,0,0,0,0,1.36550926651732,14.2324595860511,1.18563758785262,1,0,1
"g14",0.172423647885356,0.172423647885356,34.3333333333333,110.803110679725,0,0,0,0,0,0,0,0,1.94765863569952,11.0346604185135,1.69031654740028,1,0,1
"g15",0.0603347859348395,0.0603347859348395,28.3157894736842,53.7995282968898,0,0,0,0,0,0,0,0,0.876150680406285,10.0031010084133,0.925986769360663,1,0,1
"g16",0.0476426881327645,0.0476426881327645,18.0701754385965,38.5584414742168,0,0,0,0,0,0,0,0,1.00802597397739,9.62713161596293,1.09343622623458,1,0,1
"g17",0.132266952286648,0.132266952286648,85.9122807017544,158.402265449381,0,0,0,0,0,0,0,0,0.875327444941634,11.905969239653,0.882656692039737,1,0,1
