"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 1505 3490 2339 1079 1948 6334 3531 2906 4509 5035
"g2" 9028 21385 17744 12711 17764 20094 30123 25847 19010 19038
"g3" 5408 4964 1911 1877 1142 12125 7871 5162 12221 5435
"g4" 957 1038 607 501 797 2274 2925 3167 3313 2544
"g5" 24732 29400 24160 23987 19395 53525 48150 54895 85790 42872
"g6" 36318 64664 39528 35403 59100 65189 87905 80797 84755 92523
"g7" 6480 6205 6648 7545 5976 15117 42977 18518 22788 23009
"g8" 9 28 43 70 17 349 7 55 1 142
"g9" 242 246 216 324 181 880 670 1502 1247 861
"g10" 9972 10830 2231 10754 6892 17301 15719 15710 20962 10143
"g11" 495 490 215 523 876 1428 3731 2039 1336 1191
"g12" 262 144 69 181 150 131 257 193 321 267
"g13" 156 240 355 385 188 429 601 1870 361 655
"g14" 4136 4421 1209 1267 3701 8274 4835 4066 4199 6539
"g15" 85 36 60 66 66 285 198 186 313 78
"g16" 28267 25600 27743 21112 23567 51477 47727 34118 64006 39704
"g17" 16724 14921 12844 17605 18347 23858 52985 31797 33099 44251
"g18" 3122 2 289 4788 5 4396 89 451 15744 817
"g19" 2946 5934 2413 1968 3169 27582 10406 20506 24033 14512
"g20" 80 133 63 23 127 176 198 206 202 242
"g21" 3699 2911 3781 1296 2647 3414 4878 2892 1729 3162
"g22" 82 52 206 126 157 261 252 113 375 49
"g23" 1805 4724 2182 2370 2322 4010 3427 3198 3573 3814
"g24" 512 677 748 522 651 1298 2725 2095 1729 1958
"g25" 176 119 223 251 71 297 657 867 712 748
"g26" 1712 3240 3021 1738 2145 6343 8734 5563 5200 5873
"g27" 21847 31317 12535 18818 13097 15145 36243 26616 34731 25852
"g28" 675 730 285 1751 790 1308 3719 1378 695 1413
"g29" 40 12 15 2 13 689 383 0 575 6
"g30" 1123 0 0 6 105 33 0 0 0 0
"g31" 1140 1740 1477 1346 1619 2294 2848 2368 3031 1753
"g32" 54849 73122 38216 24650 40309 41924 163987 187109 144667 137742
"g33" 7542 9105 3835 4268 9145 13863 12354 6571 12282 8205
"g34" 108448 122885 59775 85383 98961 122125 112508 161854 145957 196549
"g35" 379 258 245 525 271 837 1206 767 540 484
"g36" 4113 6367 2304 2341 4512 9240 5714 13922 8935 6413
"g37" 2694 3774 4255 2067 2141 15618 7075 6113 8675 3616
"g38" 67 28 32 116 51 27 77 33 183 108
"g39" 2253 3754 3827 1221 5444 4285 2683 2910 5047 3861
"g40" 47 34 26 33 34 112 132 102 136 92
"g41" 2198 4863 2157 2337 2645 4533 6260 4655 3794 8585
"g42" 9489 14329 4359 9816 10100 31688 76631 73839 32627 47663
"g43" 175 1029 162 192 89 1491 476 52 2111 69
"g44" 2854 4689 2902 3859 2624 5522 4603 4017 5080 4959
"g45" 146 213 145 157 222 360 443 462 434 287
"g46" 5918 11821 13137 5517 8725 18856 16994 21805 31802 29765
"g47" 12291 17699 13953 13813 12136 19740 39620 27626 18999 19740
"g48" 3111 6705 4324 4271 5093 33313 40660 29701 53397 28638
"g49" 8 24 29 14 23 93 27 75 53 44
"g50" 33 73 121 35 58 185 280 189 432 167
"g51" 369 322 757 330 149 228 636 426 400 757
"g52" 19526 27183 8481 18029 8667 26674 23733 11087 59378 49174
"g53" 3400 9456 2473 2105 4151 4642 4804 4084 17692 4333
"g54" 400 672 228 593 673 2700 2197 2378 900 1087
"g55" 284 457 227 27 312 419 338 21 447 203
"g56" 24438 41358 29459 14245 16664 32881 38478 21647 53011 28862
"g57" 28 169 63 12 12 57 210 6 65 231
"g58" 6373 9412 6434 5130 6973 9642 14067 9260 13799 8258
"g59" 18086 32600 17987 38814 24686 66370 39398 69429 55312 80728
"g60" 1222 2027 659 1273 674 2128 3832 2351 1258 1123
"g61" 1411 3840 1445 701 2640 1861 2849 2764 4997 2353
"g62" 99 11 54 41 192 78 158 75 56 78
"g63" 98 89 40 98 89 185 297 276 120 192
"g64" 827 1126 1082 991 790 1548 2166 2948 2567 2876
"g65" 402 491 178 478 389 1336 1240 838 973 723
"g66" 4780 10959 11113 7208 15115 20496 15091 24511 39097 26010
"g67" 432 573 341 1150 1464 988 2066 1077 1197 1209
"g68" 2233 2882 1460 1474 3230 4383 7679 3478 7177 6717
"g69" 1493 1053 344 233 279 2405 1195 2549 1521 1065
"g70" 3135 5819 2413 1484 2889 6354 4532 3843 5404 7461
"g71" 3434 4637 2765 1969 3826 4855 7300 4621 7137 3890
"g72" 3321 7260 3775 3143 3912 7269 10277 8481 9634 8700
"g73" 1100 849 388 275 299 1911 1997 958 1791 1121
"g74" 120 199 220 93 301 475 291 273 1147 455
"g75" 1918 2163 1945 1325 1992 3453 6565 3880 4432 4333
"g76" 37 80 18 49 52 10 56 86 57 34
"g77" 12090 6706 9093 6657 10610 14209 16956 12431 26975 11814
"g78" 34202 88752 27935 36491 48426 189065 139044 120304 164679 97746
