"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 41 140 82 136 49 44 153 104 63 320
"g2" 27 33 71 17 102 257 87 613 90 468
"g3" 18 0 10 9 23 28 42 11 10 18
"g4" 24 185 23 61 58 82 68 459 83 155
"g5" 19922 35836 27691 21604 38855 39338 72736 37980 29049 63847
"g6" 7115 6522 6923 8573 6381 15113 13575 17376 13840 19032
"g7" 4808 5403 7028 5646 4637 14724 9729 13901 9406 14624
"g8" 7286 14679 11066 8442 13752 50341 33829 46232 52864 43240
"g9" 2132 635 231 334 990 1883 1183 383 2518 4554
"g10" 3695 18145 6074 4895 6823 27349 23495 13844 31447 20269
"g11" 936 1103 2548 638 1763 2301 1259 2374 729 2871
"g12" 5011 8557 4721 7306 7119 18303 12986 10394 12090 19382
"g13" 13073 14223 11888 10982 12245 27860 26461 26192 31075 39135
"g14" 661 1289 1110 1729 1017 5092 5114 2936 4017 3222
"g15" 810 762 808 996 600 1554 1007 932 1692 1752
"g16" 333 875 643 432 795 1350 1141 942 873 1165
"g17" 1538 2633 5090 3290 3226 5384 3852 4841 5923 5317
"g18" 7983 3138 8734 9869 11593 20984 14264 21696 18714 23825
"g19" 437 8 35 754 357 199 314 430 199 206
"g20" 842 835 829 700 1557 2718 3980 2543 1613 3779
"g21" 517 236 232 89 557 966 1075 2506 1168 251
"g22" 7742 4956 11905 8857 8675 21281 23312 11360 25212 12937
"g23" 1395 3313 2592 3793 1981 8670 9841 7380 8425 18080
"g24" 1509 17029 6826 461 2865 5546 17585 12252 4043 22603
"g25" 83 407 3788 976 2474 6034 2555 690 3495 2008
"g26" 918 1899 1864 1490 1178 4019 1214 2430 1913 3544
"g27" 25 149 138 23 41 245 291 188 88 201
"g28" 5079 11876 9546 6378 10539 18306 18033 11007 13047 15202
"g29" 11690 13578 13526 18269 11448 38883 45708 27628 26429 33855
"g30" 27878 15312 27408 13394 27721 42038 65162 29394 31702 36045
"g31" 1452 1677 1712 2496 3259 9590 4123 4947 4622 6296
"g32" 5781 6686 8493 1216 9652 12967 14541 6031 20679 20151
"g33" 1000 2374 2028 2222 1548 7491 4775 5127 5057 6168
"g34" 67 149 71 99 41 439 216 266 197 258
"g35" 1948 3350 1490 3601 2596 4211 3263 2723 2581 6255
"g36" 986 1319 781 1191 885 2790 3106 750 1785 759
"g37" 7562 3895 848 7103 13389 21150 18655 34279 10600 4256
"g38" 643 463 247 546 446 862 384 1383 771 803
"g39" 6392 7072 4039 18707 8833 12278 28503 12862 45898 23975
"g40" 379 114 203 139 10 221 173 546 6 337
"g41" 16 20 30 17 27 46 54 49 35 83
"g42" 763 1468 2032 2137 3394 5944 3958 4380 2120 6630
"g43" 262 455 219 382 298 579 863 523 954 1196
"g44" 404 186 315 435 441 711 1144 743 956 1402
"g45" 68 232 36 109 27 261 27 90 116 302
"g46" 717 2451 1026 1769 1308 5119 2393 3662 6199 5137
"g47" 1569 3914 2075 3564 4207 5312 4829 6679 4920 3617
"g48" 481 524 209 748 460 1213 1437 1290 1452 855
"g49" 594 453 705 1557 1665 6595 3053 1325 361 8376
"g50" 8406 8619 9838 11471 10676 35117 65678 35291 36982 41901
"g51" 564 1547 1734 1103 1212 4787 465 951 1773 755
"g52" 68 30 19 17 12 96 2 0 46 176
"g53" 21 78 92 97 54 58 38 70 113 97
"g54" 676 1101 423 884 636 2003 1668 1714 1539 2289
"g55" 1984 4493 3204 1941 3361 8823 5361 5978 6322 12041
"g56" 8682 20339 9277 18265 20475 61661 78243 25051 41327 52940
"g57" 169 196 265 393 140 956 875 1017 515 947
"g58" 280 267 409 645 3 566 764 2068 107 1009
"g59" 22082 34800 28824 30985 36923 75610 106907 109590 88749 120641
"g60" 430 742 875 971 541 3457 3423 2266 1819 3126
"g61" 4711 6078 2501 2485 3437 8563 9532 5920 10057 13120
"g62" 3257 2085 3762 3140 4584 13509 12857 6216 8936 15132
"g63" 1438 737 2511 1734 426 4631 2046 421 4690 4133
"g64" 1 72 89 91 3 5 11 175 31 771
"g65" 3523 2026 905 5566 2384 8620 3956 2213 8238 3898
"g66" 36854 38976 13550 8631 37545 28606 26141 18989 34305 28446
"g67" 2 26 4 51 5 81 28 11 46 5
"g68" 167 52 151 387 73 639 716 604 418 209
"g69" 46 46 52 69 48 123 93 73 101 115
"g70" 1291 938 1493 1674 855 2145 1667 9138 3383 3393
"g71" 8671 8460 9697 10940 6311 21584 17230 13419 21335 23719
"g72" 2546 5926 1820 8514 5147 19214 24382 9407 10164 22563
"g73" 1050 90 231 376 41 397 224 389 511 732
"g74" 3380 7214 3606 4116 8761 15304 23775 14988 4299 15121
"g75" 1 2 2 0 1 46 23 7 97 11
"g76" 1 0 15 4 68 4 145 1 33 47
"g77" 3342 9132 5290 7310 5451 8218 9317 6492 5768 9303
"g78" 31668 52503 38179 33737 19206 81255 53693 72431 45570 60748
"g79" 188 714 458 419 473 2531 1471 1881 1670 1165
"g80" 296 862 361 494 806 750 1380 843 238 467
"g81" 3937 1371 4140 2693 421 9334 1903 5020 3919 2334
"g82" 4027 5722 4402 5478 6200 15682 15965 10523 11177 19769
"g83" 1844 3348 1654 2229 2295 13377 4555 6461 8214 6203
"g84" 2831 2380 4786 3060 3721 8535 3912 8830 6226 8904
"g85" 328 476 196 462 389 772 589 546 796 819
"g86" 123 199 144 207 171 348 309 285 293 370
"g87" 46 69 21 107 166 191 477 359 119 215
"g88" 13108 22953 26138 21811 20613 40921 60381 55354 56042 62062
"g89" 14 37 22 38 34 80 79 75 69 78
"g90" 528 391 673 501 402 2992 3743 1036 1454 3905
"g91" 75 85 8 463 562 318 2 391 0 0
"g92" 2919 8220 6548 8955 11133 23756 16629 7543 22878 9470
"g93" 9205 14806 7432 16680 9772 34204 19280 20370 20569 22336
"g94" 12435 12929 7498 8026 17593 34079 26588 28020 51687 28540
"g95" 192 372 371 188 221 1207 414 243 553 589
"g96" 1673 2671 2140 3516 1172 6401 3946 403 3594 4669
"g97" 2470 6774 4893 4584 6199 12951 22745 14800 11418 11046
"g98" 816 2234 2616 2047 2414 4030 7220 5463 2824 3917
"g99" 1592 6353 8557 3576 2981 31670 14961 21143 14537 25348
"g100" 106 73 66 17 51 84 138 20 9 24
"g101" 445 598 1378 617 581 6320 3455 518 1911 3540
"g102" 4610 10316 7521 10637 5704 18100 9957 3133 6009 5135
"g103" 2844 8929 3579 4873 3953 21373 10988 8146 13087 33072
"g104" 82 72 71 207 121 210 49 24 189 120
"g105" 1685 4066 3157 3187 2791 10813 8423 11612 6375 8026
"g106" 9179 11230 11745 9970 18369 29920 32801 22102 22363 49810
"g107" 480 636 288 96 355 1038 351 430 2177 799
"g108" 879 1113 229 1643 1486 1334 1972 2216 1722 1476
"g109" 1403 1762 1057 1026 1067 2759 1820 2987 1746 2341
"g110" 20 122 15 2 78 230 14 230 125 99
"g111" 3777 2849 4446 5310 7408 9657 4573 5630 6480 4387
"g112" 447 755 1052 593 546 4432 2800 2117 2527 2964
"g113" 431 967 1207 883 181 2214 2682 1500 506 388
"g114" 3821 223 1396 1360 4039 2746 7631 12808 6150 7796
"g115" 763 1150 902 603 2127 4853 2935 3753 1790 2347
"g116" 1131 777 2383 1365 1676 6535 3811 5097 7108 5715
"g117" 1497 2469 2540 3130 3061 3652 4062 5673 8772 9413
"g118" 1561 2614 683 1429 1659 1713 2329 3462 3090 2159
"g119" 461 508 441 771 589 947 1035 844 810 1246
"g120" 8632 19999 13772 34880 21423 69006 73903 101323 79226 132745
"g121" 8 5 22 5 8 76 56 22 9 102
"g122" 862 778 242 105 1730 2782 803 1375 2822 769
"g123" 9546 33269 15328 15903 21938 21685 26459 33376 26307 38292
"g124" 30 57 197 139 29 341 148 385 203 133
"g125" 3 18 60 30 2 0 877 167 116 523
"g126" 3407 11457 11430 16630 16573 38970 12667 8879 32242 26576
"g127" 89 218 134 0 9 63 364 179 170 9
"g128" 0 0 0 0 2 0 57 4 241 898
"g129" 158 172 218 119 159 486 361 269 311 482
"g130" 251 682 381 302 240 1020 557 357 1387 215
"g131" 2179 1981 1851 1834 1429 4151 2605 2152 1800 2813
"g132" 151 105 35 62 8 113 167 447 634 212
"g133" 1 1 0 111 31 32 581 663 211 93
"g134" 69 126 100 66 147 115 127 210 128 263
"g135" 2669 4252 4242 4198 5501 3688 2771 5723 4726 6304
"g136" 5897 5695 11861 14870 9409 24089 13831 30771 32521 29863
"g137" 50 107 122 48 54 236 440 156 129 107
"g138" 189 83 45 635 258 207 11 5 1322 2
"g139" 240 465 1357 464 560 1281 2376 1907 403 1303
"g140" 6017 12591 5302 2774 1100 21393 9429 10312 4027 4410
"g141" 482 850 569 710 525 1417 1803 1048 742 1827
"g142" 2025 3140 600 1413 2147 6681 2375 3227 4475 6142
"g143" 82895 70950 44446 78452 40371 74652 47896 91959 142767 150549
"g144" 21382 32650 21925 8252 12555 42077 50257 34692 62654 61634
"g145" 31880 45877 47408 43114 37638 292401 276779 276463 439034 327211
"g146" 44 11 74 213 172 8 4 83 795 107
"g147" 6274 10433 5479 8224 4586 10069 9266 7554 12872 14464
"g148" 1 25 284 2 0 178 1094 147 33 166
"g149" 302 349 410 749 496 1835 1813 1209 2158 2862
"g150" 236 755 472 416 138 506 508 547 1178 1667
"g151" 1069 1575 830 1133 3218 1752 3095 2905 2184 1247
"g152" 146 701 168 308 346 801 1450 1543 1020 781
"g153" 14403 10061 17411 18834 13052 24277 17650 20778 23349 46786
"g154" 1538 1987 2087 1434 1550 4445 1665 3623 8214 6760
"g155" 34179 42752 26788 17188 22016 172861 196267 68109 47819 77809
"g156" 2652 7487 3141 3180 2312 5255 5031 4265 3646 7194
"g157" 123 255 233 1360 236 644 946 509 128 1189
"g158" 12 1 39 9 5 271 47 9 18 35
"g159" 67 342 196 344 251 800 396 431 311 442
"g160" 10 34 19 6 15 91 29 25 64 35
"g161" 9684 11071 13184 13244 12864 43287 46547 31760 38821 48457
"g162" 79853 153608 94482 184465 65638 242316 140239 152247 224968 250711
"g163" 224 99 234 337 173 341 488 707 348 218
"g164" 205 26 1542 154 0 666 424 318 1589 315
"g165" 7746 12976 6814 21131 6055 20624 16818 11011 17475 23101
"g166" 798 2302 510 1055 861 2907 3476 1632 4089 4223
"g167" 861 389 1109 781 1764 694 849 1575 1808 3051
"g168" 634 674 346 414 541 1291 780 364 751 917
"g169" 508 1047 212 513 342 572 860 1154 201 937
"g170" 44 101 59 66 138 197 72 51 161 83
"g171" 16 23 26 59 3 4 350 249 95 30
"g172" 4542 8095 5489 6747 6452 37062 35599 37893 30476 39267
"g173" 130 2 140 0 0 2 19 254 0 7
"g174" 32861 61975 57179 74233 49134 150611 158856 185600 187337 207408
"g175" 74 984 626 149 15126 3730 12004 10622 33 532
"g176" 888 759 598 585 931 3899 696 1959 1820 1943
"g177" 5180 25971 19846 11120 7242 22596 11912 14683 24208 17139
"g178" 375 568 745 1099 797 895 981 1029 868 1196
"g179" 85 174 141 1190 932 3557 5963 1965 2138 4552
"g180" 11165 18056 11047 11783 8026 17199 6373 33814 36039 23346
"g181" 3023 4768 4784 4011 3120 4865 5819 4971 5479 10488
"g182" 29 23 45 11 75 69 11 160 39 214
"g183" 1774 2604 2094 1414 2219 14713 8484 12585 5244 8461
"g184" 2960 6700 3690 5513 3512 11166 6524 6750 7862 11202
"g185" 7215 9326 7921 10180 7273 48122 48634 50122 32452 62433
"g186" 244 306 220 393 384 637 1236 468 516 827
