"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 12265 3069 8860 30044 19723 36077 10767 24198 13349 17572
"g2" 892 420 1336 608 2076 1824 3457 1534 958 248
"g3" 1061 0 5 999 1516 1320 274 566 2 2780
"g4" 842 333 558 760 552 1719 1609 1280 1491 1408
"g5" 12507 12193 11966 18415 26235 36848 27474 25871 36325 39804
"g6" 29730 20485 22748 29189 21548 53409 36105 26893 47128 55680
"g7" 1358 1989 2118 3617 3934 7981 4101 3612 3915 6550
"g8" 229403 205780 109688 83588 183208 258772 204872 113791 359309 214975
"g9" 2682 2384 1821 2772 2463 3823 4018 4416 11066 8039
"g10" 790 343 675 231 653 789 622 267 391 683
"g11" 201 439 193 1348 412 1305 884 461 758 610
"g12" 1118 350 1109 4178 2225 1024 4367 2020 899 3029
"g13" 14499 14418 33620 29674 14759 36338 26052 49501 36690 40289
"g14" 8681 2802 2966 13701 3472 7025 15605 10287 15555 12811
"g15" 18211 11975 16842 20364 27650 19848 66231 19303 63143 57801
"g16" 12995 9646 6472 14262 15013 14162 16922 10666 18914 25158
"g17" 20 6 2 4 91 9 3 2 11 16
"g18" 675 538 317 717 382 791 731 653 728 1423
"g19" 45 52 23 116 63 46 229 82 179 146
"g20" 225 160 157 298 115 330 157 148 273 129
"g21" 9265 5974 3930 9297 7481 9619 9734 10569 11013 10847
"g22" 446 125 360 440 214 737 529 555 343 348
"g23" 7629 2074 2411 6254 6100 12925 9494 7623 9504 11285
"g24" 991 413 796 1324 1687 1157 1777 2360 1907 1479
"g25" 3192 2216 1009 953 1791 2590 4116 4569 6867 5781
"g26" 26 41 47 49 62 49 355 36 17 96
"g27" 22713 7881 7868 24411 20836 26500 28863 19117 34369 67531
"g28" 0 0 5 14 0 4 22 5 70 26
"g29" 300 142 171 274 249 205 245 303 320 393
"g30" 1457 1397 1930 2851 2542 10685 11916 5641 17904 6505
"g31" 180 73 32 31 163 114 177 117 80 57
"g32" 410 313 371 401 401 742 530 405 693 1354
"g33" 5458 6930 3993 5821 11615 7400 9111 2917 6365 8589
"g34" 21970 14581 13772 15477 17729 69076 74944 35581 53927 60237
"g35" 154 166 154 127 210 263 133 281 600 1602
"g36" 186 306 78 253 104 1270 1436 180 2269 3844
"g37" 10 0 12 1 0 0 19 0 0 110
"g38" 25031 12155 14768 33466 32057 48732 24907 26264 33295 49241
"g39" 167 87 114 62 159 384 189 430 203 340
"g40" 638 471 499 556 342 2153 672 799 728 1097
"g41" 1217 299 639 1549 620 860 1611 1987 1828 2859
"g42" 170 102 171 203 180 274 184 205 286 382
"g43" 1800 1273 1086 671 1801 1504 778 2760 4922 1318
"g44" 99 175 208 248 201 613 485 237 280 702
"g45" 2895 2544 1538 4216 3983 3075 5988 2634 4380 6764
"g46" 11494 8333 11161 16658 15214 27536 11516 10475 19074 19857
"g47" 2021 4355 1699 4303 7394 5543 8008 7819 11993 19715
