"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 36586 17267 15389 12094 23099 52156 23721 21239 13948 80513
"g2" 237 86 459 157 621 699 478 79 32 785
"g3" 40 16 8 15 33 18 45 7 21 34
"g4" 81 125 77 143 135 472 127 380 334 507
"g5" 1384 3850 1804 2217 4091 7520 7360 5488 3645 3334
"g6" 6728 5718 5333 5497 9111 14309 14931 20124 4413 8374
"g7" 442 305 489 1008 1549 1309 308 877 209 1231
"g8" 70 128 63 88 396 551 467 245 834 1259
"g9" 956 735 462 675 1038 2303 2052 1125 915 2398
"g10" 3006 1600 1796 1770 2045 5352 5318 6319 4820 8807
"g11" 1527 1068 813 1060 1330 2395 1885 2116 1916 2774
"g12" 1098 690 664 623 469 1971 1910 1262 946 3471
"g13" 124 280 946 226 1321 780 952 6555 179 133
"g14" 12607 7333 8038 6690 11593 35179 19713 14100 10284 44908
"g15" 100813 116506 89432 71211 116799 733931 515214 594511 524115 905452
"g16" 7540 2989 3991 3372 1758 26835 18058 16532 13175 13815
"g17" 3394 3564 2173 4099 5702 5733 8286 4186 4623 9372
"g18" 3308 2866 2225 4256 2424 5774 7825 1919 4266 9295
"g19" 23169 40875 20416 65252 33859 98245 68441 68265 89428 63847
"g20" 1155 1412 1856 836 1439 2091 1712 2280 1472 2414
"g21" 2712 1611 1765 969 3120 5996 7911 7061 6291 6228
"g22" 55820 57196 13563 13275 33145 51470 64955 79117 57023 29889
"g23" 1672 3884 4070 5080 5488 14678 7389 9717 6586 9834
"g24" 76 228 24 10 0 104 1 291 0 504
"g25" 27140 22821 17187 19012 30727 54690 32908 41145 37986 64302
"g26" 267 219 154 511 117 549 913 975 329 985
"g27" 476 610 191 263 1818 1243 553 2731 305 2639
"g28" 43 59 58 1 86 249 73 57 156 211
"g29" 22 42 53 91 43 223 61 66 5 32
"g30" 7076 5537 4070 3448 5640 13005 11924 16699 13001 32432
"g31" 19 675 572 13 326 400 4751 12 597 4650
"g32" 10664 8960 12315 8575 17728 24283 24855 20150 14381 20843
"g33" 78 41 55 12 48 158 113 113 102 140
"g34" 2054 1322 1269 1046 4036 3619 1264 2710 2982 3942
"g35" 63 64 25 65 96 59 110 25 104 80
"g36" 4858 7480 7501 6636 4969 17528 10431 15108 6333 15359
"g37" 12917 13704 9562 11119 15491 17934 16965 16215 13993 27887
"g38" 14234 5974 16131 4441 6248 39685 20007 15892 16643 22737
"g39" 5234 9577 5697 5751 13820 13895 11079 16363 12150 21076
"g40" 11203 1516 401 6646 24424 19443 18020 11979 26276 42930
"g41" 14976 7349 4753 1168 3197 2114 7109 4922 2254 4971
"g42" 121 83 64 67 84 125 127 171 112 283
"g43" 770 336 1028 2018 528 2161 1529 1023 1218 1626
"g44" 553 998 462 1378 1485 1866 1837 2926 1155 498
"g45" 45 40 33 30 70 71 69 68 56 88
"g46" 94825 68176 42371 52680 100440 93188 183321 133742 71117 121340
"g47" 10344 8800 12981 5382 10188 11148 14102 7606 1609 18454
"g48" 650 291 120 85 664 384 339 215 511 315
"g49" 4072 1366 1558 3183 3805 10585 13071 18234 12549 14719
"g50" 19721 17883 15282 16149 22849 83310 55363 67639 39969 60088
"g51" 2083 2544 1481 1416 4600 3651 4023 4098 5243 6429
"g52" 2077 2217 1702 1419 1205 3634 4070 2868 3977 4982
"g53" 506 330 470 392 953 1601 1326 1003 1001 1206
"g54" 19118 10303 27063 16555 20381 37585 34770 49864 24505 37375
"g55" 5 9 10 6 24 37 0 10 23 11
"g56" 24304 29287 21389 20958 35289 116974 57893 82053 87010 172566
"g57" 1 22 0 64 24 39 17 96 27 27
"g58" 116 9 84 10 151 304 0 84 4 0
"g59" 5935 5963 6280 6610 10494 32034 17032 19577 20270 32600
"g60" 108 46 103 73 169 259 132 227 263 391
"g61" 181 71 48 38 102 245 245 208 95 48
"g62" 6598 6860 5799 5547 9120 14959 16888 16217 12495 25750
"g63" 23536 30242 26147 39534 45383 96423 103721 67317 67052 86341
"g64" 294 258 378 289 388 1185 408 32 942 946
"g65" 10380 8513 4411 7888 9849 38985 17792 16360 11015 39746
"g66" 798 1497 708 860 1478 1163 4150 5635 4792 5755
"g67" 5688 9204 5852 7060 8721 18562 16638 19775 15730 35478
"g68" 1533 1643 748 639 956 1189 2269 2723 791 1752
"g69" 249 170 176 247 348 802 474 590 534 809
"g70" 13 54 7 1 10 47 38 232 65 279
"g71" 2694 3377 1892 1540 3299 11244 7768 8994 4864 10037
"g72" 20848 18515 10749 8744 13072 52820 56666 63257 32075 81344
"g73" 291 245 379 249 797 2340 1203 1271 1932 1911
"g74" 722 6 120 806 38 8 243 47 1329 26
"g75" 10988 16263 11345 13930 23544 31719 16280 30446 15157 36007
"g76" 16 22 15 10 78 153 152 2 5 112
"g77" 721 440 422 543 609 1164 614 1187 786 1774
"g78" 193 61 203 201 135 738 388 193 129 614
"g79" 299 291 78 133 317 459 1770 1282 458 1409
"g80" 3 7 6 6 17 22 35 67 85 12
"g81" 45 65 111 43 37 151 100 40 24 7
"g82" 13256 8963 12556 8355 15711 13413 8667 25743 17480 24096
"g83" 90 90 37 8 55 10 258 77 392 23
"g84" 1117 785 322 314 480 2485 383 916 566 690
"g85" 51 4 43 16 31 51 22 192 8 48
"g86" 355 34 33 55 170 29 96 34 40 527
"g87" 8389 8280 7357 5881 10244 28861 31586 28964 13876 36163
"g88" 628 2304 800 980 754 3960 781 3829 1577 3637
"g89" 4125 4186 4151 3431 5049 14965 2027 3818 2920 17152
"g90" 11667 9116 2330 3169 1924 18830 13234 17431 11646 29482
"g91" 877 290 394 560 678 3591 2497 3172 1743 3884
"g92" 24908 28147 14427 18892 19847 34836 23915 21496 31927 71935
"g93" 891 1959 1149 1743 1596 4482 4377 3363 3186 4023
"g94" 20499 13270 10800 11834 22156 95447 35238 61041 68042 76380
"g95" 20 24 9 41 27 55 24 42 16 14
"g96" 8825 7593 5431 6158 14502 19025 40638 27973 23953 77650
"g97" 107 95 129 86 271 519 123 198 279 575
"g98" 6203 9680 3720 15193 5696 63343 26538 22843 21549 46680
"g99" 157 272 125 568 1 366 82 234 136 16
"g100" 2445 2104 1912 1058 1738 4892 5289 7819 2129 7089
"g101" 40029 62513 31459 27293 93179 67327 94223 80029 70264 101230
"g102" 609 756 305 1029 1950 2267 2346 1550 2152 2844
"g103" 45675 11074 21665 24275 33541 105117 129068 72571 54333 155830
"g104" 792 1909 1155 2060 2175 3840 1913 1853 2166 5437
"g105" 7 11 0 0 17 343 399 1 60 403
"g106" 774 727 196 543 279 297 2240 149 660 215
"g107" 8519 6448 3979 7272 6419 11516 20828 16875 21946 16715
"g108" 59 68 90 71 248 198 94 37 61 184
"g109" 45 42 34 69 66 118 104 94 57 85
"g110" 252 251 114 218 373 378 214 652 484 529
"g111" 41129 100599 79157 129453 110733 495300 262227 230740 352890 184881
"g112" 6930 6582 4587 6996 10345 9947 12506 14887 7576 13422
"g113" 1860 1427 1812 1280 2106 3945 2121 6125 2207 1080
"g114" 5114 3038 4733 1974 2943 11337 4646 16066 3774 10834
"g115" 21460 12599 9950 12822 6055 85667 34372 97100 65304 53218
"g116" 2590 1697 1510 1830 1954 7066 7045 5441 3626 15463
"g117" 1983 988 507 935 1093 4813 2025 408 706 1228
"g118" 308122 363916 319742 323714 655385 1200853 844963 1035207 820706 1219926
"g119" 1108 266 421 37 775 151 2194 2552 567 2788
"g120" 2786 2859 2354 3049 7008 7655 11583 6167 3132 6788
"g121" 28515 28452 12682 51965 43235 129372 32254 146567 26197 124262
"g122" 3336 2090 914 1267 1375 3927 1794 4291 1662 3539
"g123" 103 15 14 32 5 46 178 97 12 125
"g124" 154 205 162 78 141 288 190 252 119 298
"g125" 9784 6066 4071 2425 8880 6394 8585 6229 1682 21562
"g126" 842 1751 799 1254 968 2372 1933 2769 2039 3122
"g127" 191 174 64 53 182 239 382 364 381 171
"g128" 21 15 0 36 17 121 122 55 24 36
"g129" 64 80 71 99 76 134 98 136 122 150
"g130" 0 31 53 0 0 0 2 2 5 0
"g131" 56 21 31 59 26 148 89 122 85 79
"g132" 2387 1802 2377 1683 3727 4346 3343 3266 1988 5198
"g133" 42792 33801 31619 25686 39854 163535 151218 114809 131599 268278
"g134" 63 277 280 311 1201 388 1212 332 1009 889
"g135" 51 25 0 24 36 63 235 58 68 94
"g136" 2458 3543 2142 2765 3084 5373 6513 5714 3591 10543
"g137" 33 148 91 69 197 571 607 498 420 437
"g138" 208 680 604 456 418 2325 1634 1376 1318 2920
"g139" 87 39 19 43 42 217 42 142 105 108
"g140" 139 179 147 164 291 600 746 434 225 1377
"g141" 3506 3501 6046 6316 5437 15283 15002 19417 7355 22891
"g142" 10834 11151 6462 11556 10081 21186 19213 22484 17509 23809
"g143" 1206 1252 1039 882 1044 2001 2202 1909 1654 2909
"g144" 265 930 2037 2590 1897 9957 9705 7436 4266 6549
"g145" 0 0 4 8 6 279 69 12 428 798
"g146" 711 941 156 658 289 1573 822 165 974 2505
"g147" 20331 9152 10693 12941 29993 107525 24037 59065 58663 44471
"g148" 13 19 9 17 28 39 27 43 23 42
"g149" 3559 1753 5185 3215 6329 9968 4617 5897 6522 6342
"g150" 11847 11615 8973 10743 29061 45149 28372 28352 18865 28657
"g151" 23 20 1 18 31 3 53 1 200 114
"g152" 16625 7094 16254 9195 14934 51581 59902 37173 20310 19062
"g153" 2213 5881 1995 2518 4016 7607 10237 8196 5414 12685
"g154" 29560 29812 30595 34776 75751 84298 62462 74309 39047 64155
"g155" 29 6 32 18 63 51 29 83 50 86
"g156" 179 178 129 92 210 250 255 238 267 258
"g157" 18058 15084 3369 6918 17471 21049 25198 13950 11272 17837
"g158" 3670 1604 2739 1262 7040 39835 12463 7315 7959 29791
"g159" 6 113 33 0 116 8 174 28 66 52
"g160" 36332 20709 24864 26887 67918 164515 232050 159703 117902 232914
"g161" 7953 6548 8593 6577 4280 23179 26206 20520 26889 23594
"g162" 3615 8093 5953 4970 7976 18867 11968 18345 17967 40912
"g163" 9 99 70 30 183 38 123 405 0 12
"g164" 12 141 220 1 4 32 101 2 13 99
"g165" 92 68 83 167 64 161 313 171 234 126
"g166" 5146 3845 623 1005 1095 5048 7531 1414 711 7280
"g167" 20 11 24 23 15 0 85 8 2 6
"g168" 6206 4648 3418 5011 6526 8194 9126 10405 5634 10119
"g169" 3459 418 2608 619 3170 4956 763 4570 1532 4826
"g170" 9 14 22 41 43 61 49 162 9 26
"g171" 9383 16129 22582 33990 72825 67456 31250 31721 46309 19588
"g172" 56 41 79 20 91 703 87 48 150 106
"g173" 2312 3563 1398 4827 911 4359 7760 139 2428 5586
"g174" 50 31 4 0 54 84 33 1 13 119
"g175" 244 150 93 168 170 140 487 599 570 1415
"g176" 3121 3619 256 1002 2918 186 1562 7496 3843 3419
"g177" 70 123 55 160 43 304 172 144 59 55
"g178" 17 18 14 13 28 31 26 26 22 36
"g179" 36 81 49 53 132 175 204 116 84 280
"g180" 3534 9284 4365 8372 5542 17870 11297 29885 7437 22783
"g181" 38 39 33 15 73 134 181 216 44 249
"g182" 201 122 25 113 186 305 677 130 43 70
"g183" 2985 1647 2062 1634 2852 2478 3607 4205 4265 3271
"g184" 3621 3698 3231 2953 3536 7415 4343 2998 3993 6346
"g185" 13327 3728 12858 7650 13067 32058 17051 14186 13306 27608
"g186" 365 253 198 237 450 690 773 707 794 1534
"g187" 334 341 369 287 638 1661 887 1058 850 858
"g188" 717 1024 848 316 675 1253 1965 3870 742 2707
"g189" 3653 8074 4997 2006 1981 8366 2692 7928 3386 7098
"g190" 198 71 14 89 291 126 7 246 382 48
"g191" 2880 2720 1565 1916 2451 12344 9416 15793 10106 14785
"g192" 6242 5205 5647 5147 6609 21889 14371 19656 11329 19183
"g193" 29754 26642 27042 25414 36189 84916 63557 97242 44710 105921
"g194" 2628 2290 1097 2286 924 4069 3518 5965 5692 4890
