"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 3 1 17 105 3 156 107 28 1 15
"g2" 6104 4375 3440 5219 1943 11442 10583 5220 9100 5106
"g3" 50227 45643 30211 36061 28763 65005 77532 45169 79849 36751
"g4" 15638 22341 18886 14934 8784 42147 37849 25181 37898 22436
"g5" 398 250 476 683 566 1145 498 740 1186 286
"g6" 467 222 185 284 108 1726 1465 322 2050 1061
"g7" 7747 6196 5861 9136 6359 24445 8505 4824 13388 9884
"g8" 193 50 8 112 126 22 153 33 213 62
"g9" 1799 961 1057 1348 844 3490 3147 2883 4030 2882
"g10" 18717 17911 17298 18692 9008 77766 45116 47587 49753 31163
"g11" 10123 8001 7619 3974 7164 10341 9700 10698 8155 6648
"g12" 94 112 56 557 39 422 11 476 209 39
"g13" 2842 4156 2436 4164 2774 3181 4644 2754 5123 2915
"g14" 1536 2163 1389 2294 1293 3005 2316 2552 2205 2700
"g15" 3479 2553 2443 3207 1898 5646 4423 4258 5320 3952
"g16" 191 669 987 299 523 4371 1284 1075 2115 1579
"g17" 14788 10943 5688 7157 8269 32128 26027 11577 35779 32635
"g18" 22 30 20 24 19 19 178 146 53 86
"g19" 655 1217 656 1383 581 3966 2516 2260 2408 1366
"g20" 562 385 354 484 415 1427 1151 572 1008 708
"g21" 7576 5791 2291 6116 2522 19288 13323 8258 15068 12624
"g22" 4327 8183 1685 3676 4505 10052 4164 3835 2511 4741
"g23" 3580 54903 10622 13504 8565 24435 796 29227 22470 40768
"g24" 5958 4054 3470 4021 3408 10324 10921 5544 10725 7320
"g25" 9819 8477 5901 8413 3690 8293 7494 9157 8271 7250
"g26" 9760 6838 6508 8873 3934 19744 4060 5625 14471 8160
"g27" 2227 4158 2605 3888 3116 16408 9827 6632 11140 7517
"g28" 28506 47073 23027 37958 18284 91104 46040 36444 51610 35978
"g29" 80 85 22 20 34 103 15 22 203 36
"g30" 14008 19990 10762 15194 16534 56298 48001 39857 37232 51243
"g31" 167 237 141 245 159 196 300 131 263 43
"g32" 924 715 136 670 551 894 566 1425 1378 1430
"g33" 906 917 588 981 747 2137 1208 1224 1417 843
"g34" 22 270 28 242 3 57 1852 230 1082 939
"g35" 1866 1912 764 2322 1274 2315 4026 1380 4568 2308
"g36" 162 362 464 106 272 1712 477 553 975 415
"g37" 1 116 130 213 46 374 42 37 263 168
"g38" 3218 6275 4175 4492 3251 14403 9943 5925 12449 4696
"g39" 44 79 208 192 54 366 886 267 315 337
"g40" 4170 4592 4350 5598 3068 17626 25817 6854 5331 12760
"g41" 9995 7345 10961 7970 8426 40619 17643 15480 23869 14324
"g42" 1647 1693 1051 1982 805 4258 2188 4303 10306 1661
"g43" 6 55 16 21 37 32 95 13 117 28
"g44" 3 4 35 76 21 55 25 48 153 47
"g45" 75 25 147 107 8 245 27 86 79 0
"g46" 202 67 34 18 41 131 74 48 29 31
"g47" 101 126 68 100 96 305 212 267 448 206
"g48" 26106 18575 2121 3878 3641 24310 23000 6620 35498 11170
"g49" 54158 61483 60931 47834 70025 580502 360526 58065 268937 247999
"g50" 6590 2530 4953 2970 2143 7301 6457 4876 8201 4735
"g51" 128 30 35 132 37 640 141 7 1288 10
"g52" 6220 2500 6152 2750 1089 11578 22183 8672 12507 6924
"g53" 3506 16106 8143 8434 3389 65407 42632 1222 20441 7356
"g54" 124 144 162 54 42 72 738 23 0 10
"g55" 54 163 6 397 112 542 433 199 203 96
"g56" 140 141 66 67 35 220 40 103 117 87
"g57" 630 308 334 755 413 194 333 359 196 816
"g58" 14769 21560 8015 11527 6851 46843 25217 17385 35035 30151
"g59" 1387 1856 1156 2577 1136 5626 3492 2029 2744 1723
"g60" 570 523 2916 110 537 1033 708 1357 22378 2755
"g61" 89 154 125 127 95 215 238 127 217 114
"g62" 1677 337 228 1432 647 3626 1090 1285 1712 617
"g63" 23 40 30 87 20 52 128 63 125 149
"g64" 396 1405 1508 2447 998 2833 3677 1179 1114 1927
"g65" 7858 6253 4405 5656 5207 16018 15650 8227 16427 12931
"g66" 518 1679 1340 706 913 2232 673 502 875 717
"g67" 177 292 44 287 87 302 109 246 578 244
"g68" 3486 2978 3044 2226 2606 18060 9507 15280 13208 20592
"g69" 34 87 449 584 126 1143 2987 1029 3435 3125
"g70" 158 140 87 94 40 155 75 85 89 94
"g71" 477 1394 733 736 645 1498 795 583 1086 596
"g72" 7358 3904 1398 2420 2027 11981 9105 6692 7759 5793
"g73" 774 829 796 1472 446 1841 1329 1234 1734 901
"g74" 32 74 120 177 114 262 176 124 335 201
"g75" 2662 55 510 452 357 2084 834 2405 1055 2834
"g76" 485 1895 967 1343 1102 2173 3231 2600 3272 2394
"g77" 8702 6200 4288 11310 2019 24903 23466 9160 11720 6654
"g78" 53 46 31 94 61 319 279 123 169 167
"g79" 6 6 25 34 6 38 10 44 21 1
"g80" 3345 5685 4456 3427 2009 9595 7373 5546 7474 3147
"g81" 27 24 53 31 34 58 138 107 32 63
"g82" 2 8 85 103 9 42 868 110 44 741
"g83" 2934 6035 2954 4080 1781 10947 10498 7253 9881 6942
"g84" 6333 15288 7532 19902 5834 16503 16455 9353 23893 11170
"g85" 115 232 179 500 91 275 637 368 184 105
"g86" 4372 6118 3541 6703 3959 7660 6088 2629 6700 3328
"g87" 3578 3038 3476 2203 2939 13879 8238 4205 6494 8379
"g88" 516 590 255 217 219 2196 584 1136 2813 796
"g89" 37 61 2 10 1 99 56 140 42 22
"g90" 1202 694 811 643 536 1788 1761 1704 1489 1156
"g91" 20914 23269 15784 31497 19183 132305 91269 46908 107470 65678
"g92" 885 773 278 347 643 1106 922 872 678 380
