"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",1.64844088158055,1.64844088158055,1.58536585365854,3.81714269830205,0,0,0,0,0,0,0,0,1.85455335239688,3.84603150722834,1.26767731219722,1,0,1
"g2",0.0871618457168016,0.0871618457168016,148.926829268293,334.919477364334,0,0,0,0,0,0,0,0,1.17811934136946,12.4364894728587,1.16921059912656,1,0,1
"g3",0.0462615971578775,0.0462615971578775,1418.73170731707,2888.00392089639,0,0,0,0,0,0,0,0,0.825935172514907,15.5071605571684,1.02547091003545,1,0,1
"g4",0.0458012445706464,0.0458012445706464,570.634146341463,1468.93465244472,0,0,0,0,0,0,0,0,1.24295402537084,14.4407062284519,1.36413223261075,1,0,1
"g5",0.129881291144669,0.129881291144669,17.9298245614035,33.8170609840666,0,0,0,0,0,0,0,0,0.775370216619692,9.10966198614648,0.915389909744134,1,0,1
"g6",0.286317242343833,0.286317242343833,9.53658536585366,63.7430959337219,0,0,0,0,0,0,0,0,2.49091623295272,8.97732114380868,2.74072439316449,1,0,1
"g7",0.186569791338945,0.186569791338945,241.543859649123,435.046419002312,0,0,0,0,0,0,0,0,0.786782886997319,13.0673215021789,0.848884165140119,1,0,1
"g8",1.51302699418514,1.51302699418514,2.14634146341463,4.20955518660385,0,0,0,0,0,0,0,0,0.259567124212079,6.06625525224981,0.971788181271373,1,0,1
"g9",0.059284421097906,0.059284421097906,50.3684210526316,126.07596290902,0,0,0,0,0,0,0,0,1.67543279088652,10.9240720766372,1.32370183269707,1,0,1
"g10",0.0536399972466324,0.0536399972466324,589.268292682927,2197.85013736014,0,0,0,0,0,0,0,0,1.79257270153676,14.7502904913722,1.89909647308449,1,0,1
"g11",0.132414250605591,0.132414250605591,209.736842105263,411.697722262409,0,0,0,0,0,0,0,0,0.527977966493207,12.9587656821063,0.97300516124154,1,0,1
"g12",0.67629352715056,0.67629352715056,6.07317073170732,14.6374763510614,0,0,0,0,0,0,0,0,0.289407708570594,6.7780100393851,1.26914500728536,1,0,1
"g13",0.0892390932870405,0.0892390932870405,111.105263157895,177.418775130088,0,0,0,0,0,0,0,0,0.356548760522768,11.7283447615936,0.675231529069351,1,0,1
"g14",0.0998565466747002,0.0998565466747002,54,116.561764966697,0,0,0,0,0,0,0,0,0.772263035985983,11.0160678401877,1.11006331543708,1,0,1
"g15",0.0643531060377189,0.0643531060377189,107.341463414634,189.313620052948,0,0,0,0,0,0,0,0,0.998632841510348,11.7831675134131,0.818570746588686,1,0,1
"g16",0.204845203065928,0.204845203065928,32.8292682926829,77.425794692183,0,0,0,0,0,0,0,0,2.18041119317001,9.83379665450134,1.23783169057792,1,0,1
"g17",0.134545775198264,0.134545775198264,391,1004.23010765981,0,0,0,0,0,0,0,0,1.72185609564115,13.8821983102163,1.36084937132733,1,0,1
"g18",0.431644326109314,0.431644326109314,1.91228070175439,3.22933829362553,0,0,0,0,0,0,0,0,1.87366816810829,5.38162890528396,0.755944269692953,1,0,1
"g19",0.088014604377293,0.088014604377293,32.6315789473684,87.2138937450962,0,0,0,0,0,0,0,0,1.67469562481719,10.4626020409743,1.41828918714675,1,0,1
"g20",0.200546752278736,0.200546752278736,15.3658536585366,31.3413369873675,0,0,0,0,0,0,0,0,1.27077802715841,9.30713206960027,1.02833880604361,1,0,1
"g21",0.0784307270413125,0.0784307270413125,153.175438596491,614.952053146413,0,0,0,0,0,0,0,0,1.78726151458251,12.8880232626341,2.00528894787486,1,0,1
"g22",0.0897228475407981,0.0897228475407981,131.365853658537,208.590396728395,0,0,0,0,0,0,0,0,0.37280906695244,12.0508224694161,0.667082419190615,1,0,1
"g23",0.817742894988838,0.817742894988838,406,793.693138541654,0,0,0,0,0,0,0,0,0.404373418306005,13.6531038160603,0.967101606061029,1,0,1
"g24",0.0301820718889613,0.0301820718889613,180.634146341463,379.455901636151,0,0,0,0,0,0,0,0,1.26582900605738,12.54074019567,1.07086159319391,1,0,1
"g25",0.0826421562021743,0.0826421562021743,231.975609756098,420.898930611827,0,0,0,0,0,0,0,0,0.414932968793236,12.8613731927091,0.859500717864892,1,0,1
"g26",0.0743588773630594,0.0743588773630594,240.087719298246,441.197268487325,0,0,0,0,0,0,0,0,0.544946985632341,12.9247304229487,0.877862248721634,1,0,1
"g27",0.0369833116620842,0.0369833116620842,125.964912280702,382.989986106413,0,0,0,0,0,0,0,0,1.83422302917019,12.4300775941931,1.60428474627358,1,0,1
"g28",0.0423093866836277,0.0423093866836277,1029.21052631579,1970.09600138525,0,0,0,0,0,0,0,0,0.92777587403469,15.209265835968,0.936727815389268,1,0,1
"g29",0.498504732380691,0.498504732380691,2.7719298245614,4.22331806715055,0,0,0,0,0,0,0,0,0.440821549462756,5.47049448580886,0.607486169679292,1,0,1
