"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",0.0999644805138311,0.0999644805138311,944.609756097561,2275.63503848923,0,0,0,0,0,0,0,0,1.15398591298914,15.3009054592191,1.26847885874299,1,0,1
"g2",0.136263845598768,0.136263845598768,2231.21951219512,6974.60367633591,0,0,0,0,0,0,0,0,2.07789672489738,16.2369058500045,1.64427878380043,1,0,1
"g3",0.126903528506794,0.126903528506794,6.4390243902439,12.3051960664551,0,0,0,0,0,0,0,0,0.913775952627089,7.42608607667554,0.934353625496823,1,0,1
"g4",0.16172491876397,0.16172491876397,342.210526315789,518.834754660358,0,0,0,0,0,0,0,0,0.686842067673467,13.3737168809101,0.600390985711934,1,0,1
"g5",0.278802485970298,0.278802485970298,71.8536585365854,164.17131132894,0,0,0,0,0,0,0,0,-0.227622063730502,11.4178246354762,1.19206851987348,1,0,1
"g6",0.439641721769058,0.439641721769058,1.8780487804878,2.8310070373123,0,0,0,0,0,0,0,0,0.423199319851085,5.44073197986184,0.592080799420089,1,0,1
"g7",0.142541063146266,0.142541063146266,496.219512195122,951.309779118292,0,0,0,0,0,0,0,0,0.626135915187218,13.8881402517171,0.938936743050809,1,0,1
"g8",0.494621901023855,0.494621901023855,505.878048780488,865.639613000308,0,0,0,0,0,0,0,0,0.711287750822246,13.3099193678127,0.774976881993658,1,0,1
"g9",0.495489645320204,0.495489645320204,14.9024390243902,24.1617539005568,0,0,0,0,0,0,0,0,1.44751523958837,8.315768582681,0.697176713314711,1,0,1
"g10",0.230946538363969,0.230946538363969,8.3859649122807,14.2994890374605,0,0,0,0,0,0,0,0,1.36606218230408,7.19922439430103,0.769914897285362,1,0,1
"g11",0.0700627627453247,0.0700627627453247,33.6666666666667,53.2536211674269,0,0,0,0,0,0,0,0,0.788274434374733,10.0054212974731,0.661558742658388,1,0,1
"g12",0.707658090914079,0.707658090914079,0.707317073170732,1.65080088442173,0,0,0,0,0,0,0,0,0.803672006836035,3.61126876992311,1.22273712587668,1,0,1
"g13",0.196844297147554,0.196844297147554,182.243902439024,420.352409986801,0,0,0,0,0,0,0,0,1.04281971993705,12.1896417402486,1.20572879914397,1,0,1
"g14",0.0917883385257399,0.0917883385257399,460.982456140351,831.463707107887,0,0,0,0,0,0,0,0,0.565999774485038,14.0618867867031,0.850941445842836,1,0,1
"g15",3.32726575403216e-07,3.32726575403216e-07,0.682926829268293,2.42121859797695,0,0,0,0,0,0,0,0,1.87191563833688,4.95774786506382,1.82593042046006,1,0,1
"g16",0.141037153857272,0.141037153857272,110.585365853659,191.568038301902,0,0,0,0,0,0,0,0,0.699398693339615,11.55565080639,0.792696396898518,1,0,1
"g17",0.834914234995277,0.834914234995277,8.58536585365854,16.0952834759113,0,0,0,0,0,0,0,0,2.05290929166572,6.42564778995383,0.906686467170531,1,0,1
"g18",0.873499185914052,0.873499185914052,1.80487804878049,5.27509489402722,0,0,0,0,0,0,0,0,1.11554100333997,5.06129540468122,1.54729568577788,1,0,1
"g19",0.0749549301242669,0.0749549301242669,1812.9756097561,3568.29350609351,0,0,0,0,0,0,0,0,0.682386724993066,15.7433926538184,0.976874771036184,1,0,1
"g20",0.752213679603753,0.752213679603753,7.51219512195122,15.5367942199838,0,0,0,0,0,0,0,0,0.294384225717776,7.72476842978976,1.04838241519169,1,0,1
"g21",4.76690200906268,4.76690200906268,1.54385964912281,7.89522791529945,0,0,0,0,0,0,0,0,1.47817432257082,2.12182426618664,2.35443930917803,1,0,1
"g22",2.21609968811722,2.21609968811722,4.19512195121951,8.01351749251892,0,0,0,0,0,0,0,0,-1.43729668032031,5.09494907044571,0.93372289518423,1,0,1
"g23",0.570480601438521,0.570480601438521,4.90243902439024,8.07722424448854,0,0,0,0,0,0,0,0,-0.17014775902329,7.43461816945786,0.720359906326915,1,0,1
