"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 27274 20218 25075 34636 28482 50283 37592 92843 67706 70882
"g2" 36074 61678 22863 51958 26683 255275 214170 215916 55275 164056
"g3" 142 82 184 170 78 136 317 294 268 227
"g4" 11228 3402 8782 15865 7236 21009 10555 22523 10993 8580
"g5" 2322 3874 2687 3330 2654 2143 13825 2284 1529 1061
"g6" 31 29 63 28 41 41 93 54 18 87
"g7" 16552 14840 8505 8651 14079 26352 23801 23012 33356 5238
"g8" 3918 8940 11892 4518 15723 27165 29779 945 19379 26583
"g9" 98 88 160 515 348 588 388 252 757 981
"g10" 104 47 67 172 104 146 167 364 201 431
"g11" 511 671 822 1262 771 1715 1846 999 937 1611
"g12" 5 2 18 6 38 77 1 42 7 31
"g13" 3837 1437 3490 4907 3632 3434 10088 12601 9459 3490
"g14" 10130 13814 8331 30424 14539 24185 16073 35545 18108 16584
"g15" 11 12 20 19 18 81 54 66 43 61
"g16" 1021 3221 3035 2936 2357 4743 2957 4124 4488 3401
"g17" 193 5 195 20 29 213 493 227 87 83
"g18" 4 61 30 12 53 35 40 49 190 22
"g19" 34086 46577 29220 63176 48841 119366 72970 85990 36685 62743
"g20" 250 177 74 224 321 413 220 121 49 1368
"g21" 6 0 0 139 0 3 6 14 0 130
"g22" 103 4 113 150 66 2 164 211 31 1
"g23" 209 99 423 220 100 293 298 61 146 155
"g24" 461 292 358 1149 879 3538 5374 5168 2057 3609
"g25" 638 982 122 843 230 870 203 5045 2520 224
"g26" 243 163 227 64 138 216 1123 83 13 99
"g27" 773 735 236 1052 1184 2152 1580 2474 873 1011
"g28" 2947 24211 15724 10287 3813 73122 28409 28743 16869 18023
"g29" 45447 34486 46602 51228 46665 69075 52473 66098 54657 60559
"g30" 47 91 216 219 182 731 641 1242 589 884
"g31" 1965 3103 3568 2736 6895 6249 4314 3029 3968 2927
"g32" 77091 96945 111095 152536 52798 335196 281408 306051 301293 230101
"g33" 8638 7228 6507 4863 10136 19405 24620 21493 18147 12326
"g34" 2569 989 2229 4632 1358 15673 15173 7852 6714 8214
"g35" 1193 1272 1249 714 1000 5311 1387 4655 3013 3290
"g36" 171 118 71 116 72 430 587 39 33 883
"g37" 815 404 52 97 489 521 912 388 1145 372
"g38" 839 289 823 431 346 455 784 846 459 525
"g39" 415 412 1441 1381 1081 631 3260 3547 2407 3262
"g40" 4954 2524 2184 3712 4228 12207 5937 5990 5864 2689
"g41" 48 35 178 106 52 62 16 138 113 337
"g42" 108 9 158 2 34 213 1 120 0 42
"g43" 155 423 2275 734 1891 4056 2502 2716 2963 1434
"g44" 12876 28043 11458 14122 22218 31406 40417 43114 21616 25643
"g45" 9 33 25 42 16 278 97 96 115 50
"g46" 49 5245 340 41 1598 10099 13147 4639 899 3376
"g47" 652 481 518 453 518 1101 1080 1421 981 1116
"g48" 20 5 17 17 4 129 129 99 5 13
"g49" 1 9 10 30 11 1 54 25 94 9
"g50" 6274 10143 9402 4188 5830 23269 15254 17602 14114 11559
"g51" 168 286 340 355 327 475 424 673 441 534
"g52" 6196 7969 2755 11155 5541 41681 8831 45766 44783 23701
"g53" 8780 5930 3466 14307 1536 19512 16172 19938 11974 20411
"g54" 22269 4435 25320 10799 17872 31915 23190 54669 15055 32410
"g55" 289 357 450 468 119 2565 685 2333 1775 933
"g56" 834 764 685 650 722 1467 1775 2183 2288 1483
"g57" 85 119 105 130 57 199 228 306 180 285
"g58" 0 16 16 7 19 203 63 122 39 169
"g59" 106 72 14 125 5 104 225 105 169 112
"g60" 75537 39404 43774 39577 45643 72264 85727 189077 101476 64299
"g61" 15653 12812 9997 16194 12723 41835 43801 44234 29541 35492
"g62" 3001 3560 2869 4547 1695 25267 7808 13839 8927 14398
"g63" 168 191 104 73 327 436 451 323 370 305
"g64" 160 354 211 42 160 619 968 398 254 253
"g65" 30216 20671 28111 28640 16345 64971 54153 48028 35308 52882
"g66" 8620 11102 5838 7605 6194 17737 6308 11050 10478 14466
"g67" 393 1090 848 553 728 3931 2259 6632 1326 3369
"g68" 4823 4213 6357 4308 3704 6940 8325 12070 6718 7486
"g69" 2431 2872 2318 3684 2177 4210 4236 3043 2614 1852
"g70" 47 42 42 69 50 94 98 100 64 72
"g71" 248 90 419 104 109 1647 905 1145 160 1375
"g72" 1535 2283 1960 1287 4789 7568 4575 4704 3916 6370
"g73" 66 19 142 61 103 132 200 146 52 99
"g74" 26 42 24 16 19 47 16 39 8 13
"g75" 891 5797 8937 7532 2686 16814 55822 21326 3991 5359
"g76" 3397 1692 8904 1626 4065 7716 8073 19707 4481 2794
"g77" 7945 5106 8034 5572 3492 10176 8179 6760 8441 1947
"g78" 8429 5919 33025 23106 1539 31442 5786 5205 10385 16099
"g79" 421 570 1262 663 1618 2552 1173 1944 1048 2010
"g80" 1408 1175 958 1634 1657 2783 2883 3814 1862 6324
"g81" 148 73 75 92 127 502 324 375 100 294
"g82" 4524 1118 2129 1229 3074 8472 8267 9020 11942 4653
"g83" 14873 13543 9739 16134 15337 45311 26398 42821 32690 23184
"g84" 5559 4496 6207 6978 5742 18884 17308 22911 13463 14275
"g85" 409 242 640 1346 47 922 215 240 425 2010
"g86" 481 155 461 54 2 793 130 114 152 57
"g87" 2495 2777 1187 1008 1064 10091 5576 5551 7086 12653
"g88" 72 63 88 383 98 467 617 706 297 307
"g89" 317 642 12 550 61 529 6 2215 153 295
"g90" 2347 1815 409 2548 1483 2825 2300 7165 2445 1890
"g91" 447 562 207 638 332 2015 1402 3612 1799 1484
"g92" 2209 1109 1667 1517 3461 4409 2874 4233 3953 3192
"g93" 6374 3333 6148 6053 6100 10559 10493 9376 5564 7782
"g94" 37524 31868 33927 34773 30639 96170 64118 96814 55631 55425
"g95" 190 110 174 141 115 510 334 470 439 243
"g96" 1522 907 1468 1555 2028 1771 1845 2312 2515 3037
"g97" 37507 25089 23337 34846 20020 84261 24442 48590 35110 40417
"g98" 29381 32238 26788 42104 45467 155475 113598 136538 66407 136326
"g99" 78524 48228 50560 119135 111588 348285 120749 107599 48353 164965
"g100" 173 100 395 151 208 394 537 1161 500 690
"g101" 65 576 100 1005 226 815 561 236 639 1197
"g102" 1847 2229 1184 946 1743 4855 2797 3322 2444 2290
"g103" 2863 1836 1529 3560 9424 5241 6681 5171 15605 4040
"g104" 3896 4791 3219 3527 4965 9838 6143 15797 10476 12903
"g105" 201 187 121 94 221 119 415 278 64 111
"g106" 8693 8157 10587 12828 12702 31275 35596 32949 56603 26442
"g107" 57 76 233 160 35 60 360 7 122 139
"g108" 277 179 233 285 70 554 734 501 186 431
"g109" 1043 649 427 1509 633 1646 2329 1877 1928 2424
"g110" 45 7 131 134 10 406 310 281 190 494
"g111" 49 8 16 41 177 32 46 113 132 107
"g112" 31 31 3 13 29 100 98 19 32 68
"g113" 15559 21878 17049 22457 18508 40154 41428 58993 43475 44222
"g114" 198 215 37 32 171 271 399 137 99 417
"g115" 3342 5539 3302 4008 3292 10496 4566 6653 5599 5648
"g116" 16 10 8 51 10 273 58 37 8 30
"g117" 867 1593 2032 1410 1263 3290 3313 3484 1220 2305
"g118" 7685 9171 10478 5748 9715 18444 23705 39703 20316 16347
"g119" 1408 1723 1572 800 1267 4914 3062 4916 1463 2742
"g120" 10082 11177 10313 11078 12216 17443 15319 17788 13963 16030
"g121" 1527 1426 1550 1365 1076 3728 5475 6200 2051 3869
"g122" 5 44 106 56 17 293 290 88 55 154
"g123" 1726 1614 3732 2617 5591 5499 6135 10644 4007 11226
"g124" 88 136 108 50 557 1754 106 292 75 22
"g125" 5178 5711 5725 6054 6128 11831 13030 10392 7658 10792
"g126" 13 82 47 52 27 177 106 65 40 63
"g127" 51321 46125 66714 49026 54743 166947 173186 161448 103745 120844
"g128" 4 80 55 81 90 11 41 5 40 48
"g129" 2 227 239 314 618 2091 46 399 1089 1122
"g130" 11 24 0 16 12 2 159 93 40 3
"g131" 8066 7318 7374 8855 9312 16515 15921 20461 9348 19403
"g132" 31 24 47 8 29 23 87 31 68 56
"g133" 0 70 23 31 6 34 14 8 22 15
"g134" 176 276 481 600 466 1375 1479 1404 1261 2491
"g135" 19585 22616 20361 41450 21545 83606 64660 103240 40060 60790
"g136" 44824 34865 45799 23673 17515 24790 104236 71816 89986 67528
"g137" 4056 7024 5086 6655 6554 11522 8260 12363 7794 10513
"g138" 212 126 134 314 141 233 408 347 227 358
"g139" 22394 26451 47784 18567 39540 91232 135465 96996 172780 89238
"g140" 3 67 71 78 65 279 110 294 202 175
"g141" 385 451 184 386 406 1375 1308 2029 573 2601
"g142" 317 259 420 822 454 762 1009 1152 996 919
"g143" 42974 24450 30173 37331 34040 103785 57250 94833 37426 46031
"g144" 88 30 77 82 42 5 138 16 42 43
"g145" 23408 15306 10602 11828 12595 68550 57030 80932 51983 52284
"g146" 36374 21941 27552 44438 37661 163087 79572 149118 106123 113174
"g147" 27 28 3 60 160 81 65 155 128 162
"g148" 1916 2685 3060 4652 5649 10227 7567 14918 8603 8483
"g149" 63 344 37 173 38 196 529 171 326 346
"g150" 12939 12440 8966 20050 14492 57811 23920 47227 13818 42631
"g151" 347 344 367 405 452 969 648 1068 620 766
"g152" 95 7 44 35 57 27 134 417 7 303
"g153" 6925 7062 13752 10242 8862 32419 23596 23323 29719 27889
"g154" 2484 1045 1676 3343 3147 13710 8475 4388 4850 3061
"g155" 2808 2297 5527 2456 2783 7285 3596 14036 7601 6250
"g156" 113 892 1183 66 888 2019 3761 1205 1356 1408
"g157" 7506 10515 10224 11863 10134 30908 34962 42428 17383 49127
"g158" 11664 11564 9321 13238 11983 64725 44364 89783 64859 76692
"g159" 4322 4372 2651 5201 5711 23132 11864 27113 17486 35906
"g160" 420 1285 412 758 1196 4645 3958 1491 1296 761
"g161" 98 155 176 64 22 305 1 1590 149 62
"g162" 11645 11316 12366 13965 11959 24764 26438 24529 26089 29474
"g163" 570 1456 1166 996 968 742 1564 6028 668 4133
"g164" 6223 7513 5605 4378 7870 16306 14306 21370 20741 11669
"g165" 8 164 0 205 9 184 1056 16 1769 36
"g166" 77 64 48 25 87 137 215 97 202 72
"g167" 39 212 64 93 114 399 231 195 160 93
"g168" 11823 11819 9438 14550 10490 26938 26789 27546 20230 14730
"g169" 3112 1660 1107 1496 2485 8096 8361 8949 7669 2434
"g170" 2659 2167 3044 3579 2739 9864 7340 9344 4908 6788
"g171" 4633 3965 7835 7310 7287 15547 11710 6923 6995 7824
"g172" 281 91 32 210 75 212 443 64 126 89
"g173" 948 1553 561 2299 525 4486 2476 1454 2070 2553
"g174" 42 23 23 27 108 99 197 430 162 142
"g175" 6938 6994 6161 11957 11165 14532 8016 15591 17481 8789
"g176" 1765 1088 4667 710 1166 828 1850 5142 2304 3324
"g177" 2408 4285 3443 3158 5765 13740 3183 5399 9145 5834
"g178" 656 198 233 224 643 625 1980 511 304 119
"g179" 1222 649 1572 1876 1053 3953 1969 3891 2610 3293
"g180" 2164 1924 1995 2980 2369 8251 6374 6956 4681 5951
"g181" 520 660 438 613 1080 1010 784 1740 720 1428
"g182" 158 373 298 503 589 3424 1639 2028 2533 1101
"g183" 1325 1601 2092 2492 2431 8800 6873 5370 3993 4049
"g184" 3692 3556 4288 4533 4884 10133 8858 12831 6489 17141
"g185" 5152 11478 9259 11535 8673 21409 19623 19971 17177 14000
"g186" 71 75 253 106 245 697 696 270 226 737
"g187" 13 0 34 27 29 1 109 0 98 98
"g188" 407 833 978 445 491 889 1232 1391 408 586
"g189" 1410 1712 3081 1828 2879 4139 2953 3441 1362 5996
"g190" 249 969 1196 1042 1403 1760 606 840 1380 738
"g191" 624 1204 1198 684 552 1250 1252 948 617 628
"g192" 4906 5954 7229 6085 4222 12755 10415 12901 8717 4879
"g193" 312 197 1110 31 367 735 29 918 1040 8
"g194" 2083 2063 2568 1836 3781 3672 6212 7728 3158 4540
"g195" 3931 5080 7897 2069 8537 16893 9260 16139 10373 16081
"g196" 1734 1046 2917 3114 2328 11385 5529 6641 5850 10362
"g197" 1663 2303 2534 3708 2555 5811 4015 4350 2920 2858
"g198" 197 17 4 68 1 434 245 339 145 581
"g199" 193 317 95 186 93 80 2549 679 22 219
"g200" 12918 13753 15013 14916 12971 34317 37725 42222 26303 40302
"g201" 3061 4027 4576 2381 5745 1531 14796 18598 4832 15128
"g202" 19 45 40 70 36 46 132 90 31 49
"g203" 26776 24092 25388 29151 31791 59283 42190 51352 49070 41634
"g204" 44 101 180 371 401 651 988 725 1290 663
