"","x"
"1","g12058"
"2","g403"
"3","g416"
"4","g753"
"5","g257"
"6","g240"
"7","g558"
"8","g187"
"9","g237"
"10","g83"
"11","g317"
"12","g104"
"13","g434"
"14","g251"
"15","g8497"
"16","g356"
"17","g376"
"18","g8576"
"19","g1017"
"20","g220"
"21","g2696"
"22","g80"
"23","g898"
"24","g224"
"25","g833"
"26","g440"
"27","g370"
"28","g101"
"29","g102"
"30","g139"
"31","g52"
"32","g1019"
"33","g952"
"34","g379"
"35","g4609"
"36","g875"
"37","g1195"
"38","g1219"
"39","g954"
"40","g136"
"41","g307"
"42","g58"
"43","g327"
"44","g822"
"45","g293"
"46","g609"
"47","g989"
"48","g784"
"49","g10418"
"50","g402"
"51","g594"
"52","g282"
"53","g595"
"54","g272"
"55","g988"
"56","g687"
"57","g1091"
"58","g11253"
"59","g1119"
"60","g3697"
"61","g795"
"62","g1141"
"63","g1041"
"64","g29"
"65","g1136"
"66","g1005"
"67","g1047"
"68","g556"
"69","g7339"
"70","g659"
"71","g730"
"72","g213"
"73","g453"
"74","g106"
"75","g1147"
"76","g443"
"77","g276"
"78","g227"
"79","g11459"
"80","g427"
"81","g919"
"82","g614"
"83","g259"
"84","g278"
"85","g12045"
"86","g882"
"87","g886"
"88","g1226"
"89","g54"
"90","g9118"
"91","g469"
"92","g10238"
"93","g550"
"94","g17"
"95","g1176"
"96","g66"
"97","g2161"
"98","g205"
"99","g32"
"100","g318"
"101","g739"
"102","g847"
"103","g540"
"104","g698"
"105","g987"
"106","g733"
"107","g965"
"108","g1146"
"109","g8291"
"110","g7234"
"111","g9452"
"112","g138"
"113","g156"
"114","g1008"
"115","g553"
"116","g1236"
"117","g10883"
"118","g2587"
"119","g610"
"120","g1062"
"121","g569"
"122","g752"
"123","g4381"
"124","g285"
"125","g200"
"126","g1106"
"127","g826"
"128","g842"
"129","g328"
"130","g994"
"131","g671"
"132","g1105"
"133","g295"
"134","g775"
"135","g1222"
"136","g11557"
"137","g1168"
"138","g554"
"139","g1051"
"140","g9941"
"141","g1243"
"142","g879"
"143","g1234"
"144","g532"
"145","g1271"
"146","g1483"
"147","g1117"
"148","g584"
"149","g604"
"150","g1073"
"151","g508"
"152","g183"
"153","g834"
"154","g10786"
"155","g1124"
"156","g2770"
"157","g367"
"158","g6160"
"159","g2687"
"160","g12969"
"161","g598"
"162","g1044"
"163","g792"
"164","g10876"
"165","g4211"
"166","g419"
"167","g1120"
"168","g70"
"169","g128"
"170","g5936"
"171","g1139"
"172","g413"
"173","g273"
"174","g1264"
"175","g10830"
"176","g157"
"177","g1173"
"178","g665"
"179","g450"
"180","g9498"
"181","g381"
"182","g7489"
"183","g346"
"184","g696"
"185","g1065"
"186","g35"
"187","g4250"
"188","g7"
"189","g549"
"190","g866"
"191","g791"
"192","g3818"
"193","g511"
"194","g1129"
"195","g657"
"196","g682"
"197","g1114"
"198","g236"
"199","g1154"
"200","g6260"
"201","g3903"
"202","g253"
"203","g445"
"204","g12148"
"205","g449"
"206","g1281"
"207","g528"
"208","g10363"
"209","g2178"
"210","g5266"
"211","g7182"
"212","g622"
"213","g332"
"214","g1209"
"215","g6600"
"216","g726"
"217","g10166"
"218","g51"
"219","g793"
"220","g433"
"221","g3218"
"222","g387"
"223","g627"
"224","g798"
"225","g10511"
"226","g90"
"227","g824"
"228","g177"
"229","g874"
"230","g1244"
"231","g2135"
"232","g2788"
"233","g729"
"234","g189"
"235","g790"
"236","g340"
"237","g621"
"238","g779"
"239","g72"
"240","g11447"
"241","g4422"
"242","g9003"
"243","g846"
"244","g99"
"245","g8154"
"246","g510"
"247","g9685"
"248","g3768"
"249","g720"
"250","g1206"
"251","g2083"
"252","g392"
"253","g161"
"254","g948"
"255","g322"
"256","g428"
"257","g234"
"258","g603"
"259","g1004"
"260","g274"
