"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 641 323 567 833 707 1309 1380 894 888 630
"g2" 29 370 27 56 122 385 234 277 116 279
"g3" 519 436 417 539 109 1988 1423 1509 455 782
"g4" 2552 5176 6510 2660 4242 7931 6433 9517 8211 2124
"g5" 39531 36649 41992 37899 61494 56571 90318 86774 93646 38474
"g6" 10439 6625 9231 8556 10281 16420 15761 22320 24585 17524
"g7" 1413 2608 1918 1450 1121 3245 2668 3220 4377 4451
"g8" 619 138 507 144 1154 635 183 556 628 1840
"g9" 24847 26632 56510 42292 51586 83570 58758 100307 80224 48877
"g10" 2421 2001 4518 2016 3476 3256 1984 1527 4971 3650
"g11" 3806 3899 4521 2358 8622 3830 11364 9175 19899 9836
"g12" 2493 2486 6575 3889 3526 11471 12491 14003 23573 13803
"g13" 47934 39212 35697 31978 51561 135885 106905 245124 169266 195263
"g14" 10685 4576 4998 1679 11277 10277 33222 15702 59092 2261
"g15" 15422 9930 14842 16633 13327 41794 19877 35384 42195 25804
"g16" 5493 3038 6577 4610 7469 19013 17541 22807 17690 16746
"g17" 300 184 161 216 141 1018 696 438 1133 464
"g18" 72 68 9 319 321 223 98 4 98 170
"g19" 984 951 578 951 452 1584 524 3107 3535 9213
"g20" 2 11 251 12 4 71 15 23 79 35
"g21" 1278 1201 1999 1869 1926 1979 2182 2371 3549 1426
"g22" 29 68 149 20 104 195 102 60 196 171
"g23" 1696 1354 1440 2029 1549 2680 1870 1742 3796 2474
"g24" 3290 2617 3691 1678 2984 3026 2082 2925 3585 2409
"g25" 264 277 104 40 267 72 408 413 373 220
"g26" 2939 2193 1905 1067 3899 5574 4742 3773 3850 3827
"g27" 181980 214026 273199 258863 248680 632035 670465 413940 867726 435676
"g28" 63397 54600 82785 92881 114052 370837 274517 215613 405396 244767
"g29" 23 50 20 62 91 487 53 635 117 884
"g30" 162 192 230 168 296 852 709 480 705 943
"g31" 71 42 97 107 124 105 119 72 452 101
"g32" 16562 11381 14894 13033 18648 44787 47509 52389 59171 41162
"g33" 956 1322 1647 255 437 3921 1507 741 2569 914
"g34" 420 13 153 137 993 6 119 197 111 44
"g35" 23072 22236 25611 21099 34830 57474 60580 48498 79774 32711
"g36" 289 263 620 285 224 437 545 295 514 768
"g37" 5411 7327 10417 4522 11299 8013 7570 17536 12376 11389
"g38" 492 251 588 487 954 1630 1273 1257 1162 1084
"g39" 5517 4178 4223 4547 4791 4476 4188 5835 6296 4931
"g40" 10451 11818 10474 15625 22382 45905 36611 35304 70826 43611
"g41" 12593 11531 14105 9714 14655 20370 22123 22701 26350 22201
"g42" 1023 2354 648 913 1574 2475 3590 2856 2897 2811
"g43" 3247 3766 1028 1449 4738 6061 18422 3722 22261 1500
"g44" 4161 1109 1019 3922 4416 7690 2354 2710 5792 1791
"g45" 1897 1704 620 1377 1166 2228 864 1870 1506 1498
"g46" 1179 1004 1600 761 2232 2617 1571 2712 2307 1931
"g47" 96 23 33 22 124 202 69 5 37 122
"g48" 1052 818 831 786 798 4906 4346 2964 4673 2138
"g49" 453 2 478 3566 1348 0 156 439 150 1018
"g50" 5786 6014 5817 4430 6547 8096 8278 9061 15244 5547
"g51" 3252 3393 5775 6748 5419 8725 14138 10236 10496 11778
"g52" 11936 3315 3920 2573 6712 16610 5228 8460 8374 10605
"g53" 93 36 298 224 108 347 316 455 188 95
"g54" 2166 3790 1964 1508 1944 7796 7784 5380 9958 5869
"g55" 2155 1887 729 665 1664 2410 3468 3584 6511 3235
"g56" 1325 629 1876 1655 2909 1536 3122 1469 4353 885
"g57" 4912 7886 1792 2912 5238 9921 4389 13124 9292 6111
"g58" 6 14 46 46 2 344 487 33 122 85
"g59" 366 247 386 137 249 221 146 467 728 614
"g60" 7201 7809 8767 6625 12287 12400 14709 20353 13598 7916
"g61" 192 4 398 47 210 490 342 241 810 296
"g62" 50055 46611 50896 43230 89001 72598 46681 66466 111893 75561
"g63" 1858 1645 3386 3575 1660 3603 5097 6083 4863 6124
"g64" 4749 4370 5442 5671 5380 10093 13163 10222 18532 15885
"g65" 13630 10476 10544 13167 20193 37381 49226 28991 44070 25876
"g66" 2593 2529 1933 4802 1772 670 1985 3167 5486 1954
"g67" 6481 5429 6145 6283 6471 34309 29523 30734 31528 20569
"g68" 97 166 107 115 267 180 172 263 333 108
"g69" 20 85 81 152 201 160 190 93 156 197
"g70" 28671 30609 36746 25615 35910 42771 71975 67746 63836 42145
"g71" 0 47 147 74 629 211 88 255 722 17
"g72" 2809 1040 1157 1075 4035 1168 2548 3811 2899 2267
"g73" 6178 1595 4055 1595 4761 3411 1747 5727 4070 3613
"g74" 3151 2935 3944 4066 2870 4852 3185 5306 4999 4647
"g75" 116 36 56 66 25 44 44 45 119 210
"g76" 2156 510 1137 1021 837 2156 1236 1802 1284 726
"g77" 1 0 20 0 1 28 3 0 0 38
"g78" 2752 435 3095 4080 12039 12846 13211 8864 11638 3161
"g79" 526 503 399 400 237 421 484 684 635 340
"g80" 37 22 17 95 130 28 28 29 9 65
"g81" 268 506 556 390 694 418 1154 1344 1254 963
"g82" 97 83 69 139 83 253 188 117 160 198
"g83" 20 161 24 128 42 2 598 12 0 33
"g84" 1231 843 849 957 2286 1375 1518 1186 2922 1202
"g85" 6472 3600 6763 5455 5508 10001 6204 10738 18291 11033
"g86" 2947 2762 4100 3981 1977 5051 5848 6875 9959 4031
"g87" 162 30 69 45 49 76 244 20 95 285
"g88" 486 318 136 311 257 679 370 304 667 307
"g89" 2039 1269 4421 2469 1268 3172 2789 632 9565 4490
"g90" 1476 1881 2388 1865 2901 2360 2054 3025 2817 2395
"g91" 7737 13031 18087 14066 25529 54436 42086 31020 51921 43956
"g92" 101 144 22 58 351 189 223 333 214 450
"g93" 26495 21081 31803 15246 29418 46419 42519 41588 48020 44103
"g94" 127 53 159 90 141 176 188 157 175 240
"g95" 26694 14608 27446 15491 47190 84412 65708 59901 86433 68834
"g96" 172 341 195 113 307 681 1150 790 740 328
