"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 48 225 199 94 148 428 658 480 368 310
"g2" 4 9 12 19 46 39 52 93 263 22
"g3" 322 584 423 471 26 5579 1820 1412 6874 14837
"g4" 253 189 65 91 271 364 66 196 131 743
"g5" 7139 7686 3747 7080 7652 11647 25324 14216 19368 12617
"g6" 522 1038 688 948 1369 6445 2019 3907 6466 1322
"g7" 1119 1988 1350 1720 1916 9938 4149 1550 4217 3122
"g8" 49 48 39 22 44 70 44 69 72 33
"g9" 55 3 5 24 1 983 1069 162 85 137
"g10" 8155 11275 6761 17652 19203 36583 15208 16111 28401 16706
"g11" 38 72 45 60 81 105 74 123 84 120
"g12" 8412 7458 10254 9727 9893 23682 15773 13214 15684 15667
"g13" 1236 1850 1658 1822 1800 4003 2139 3149 3583 1945
"g14" 241 224 166 65 210 919 444 124 404 72
"g15" 5936 5168 4421 4128 8741 11581 8131 12822 14201 6741
"g16" 287 428 180 340 280 1218 726 863 902 791
"g17" 5698 5045 6041 3492 11744 11103 8411 14709 10246 6355
"g18" 2807 3486 2366 2283 2980 5753 6184 4553 6510 3073
"g19" 1167 1095 635 453 1193 1289 3418 3290 3604 2329
"g20" 52 21 10 39 55 25 32 64 120 54
"g21" 949 1192 1481 1463 3356 1806 6247 3452 4198 1121
"g22" 0 1 152 60 0 489 0 81 35 71
"g23" 523 459 211 555 911 1951 1105 720 1547 931
"g24" 10190 14379 10879 13834 15798 47993 26467 33807 56540 28639
"g25" 26 57 68 28 146 73 109 118 298 186
"g26" 42 88 57 37 95 197 57 205 119 138
"g27" 238 96 172 105 908 192 1278 730 2185 1100
"g28" 23882 50943 29868 31462 60292 87377 76569 53894 124459 49978
"g29" 4501 5192 6646 4796 5896 18652 13001 12122 18169 7331
"g30" 7356 6883 6695 10411 16501 35342 15760 26928 27891 32083
"g31" 4346 4226 1103 1965 7507 13093 6918 13947 15095 6840
"g32" 825 585 4838 2323 711 5266 3306 946 7681 113
"g33" 21 49 73 36 4 10 101 144 12 98
"g34" 36331 30695 37276 29491 51095 106796 68499 85697 111866 37170
"g35" 27 1 100 12 30 39 67 28 7 1
"g36" 3600 3955 7229 5754 8583 21166 20257 21335 24456 10220
"g37" 1195 1197 1130 1058 1571 2435 1712 3134 4453 944
"g38" 225 334 254 478 520 1111 4189 1042 2861 1277
"g39" 1 310 79 12 276 594 325 310 878 44
"g40" 5202 14638 15082 8838 16464 51635 23992 24286 58380 54172
"g41" 61377 38786 93408 38371 18124 313431 350701 54856 45750 108159
"g42" 237 827 189 265 1177 1438 1535 863 1181 541
"g43" 5005 12662 7726 3073 11351 6045 8971 19565 5248 3493
"g44" 6014 10217 7046 7451 11651 17352 10532 10741 16566 7138
"g45" 27 22 87 175 163 15 354 316 24 70
"g46" 212 980 780 394 395 1694 1005 1051 1276 1663
"g47" 1305 4987 2997 2145 2880 2429 3874 6965 7806 4646
"g48" 319 1504 958 1 478 12100 946 878 4138 1022
"g49" 3306 5066 11560 2729 9082 12397 12617 20555 20201 10321
"g50" 8713 6025 5326 7143 13503 18691 14717 18558 27682 7517
"g51" 387 2752 5098 6003 1186 1618 1143 229 858 3473
"g52" 64 146 133 59 541 24 54 59 787 308
"g53" 544 969 2458 1792 5062 6342 5467 7621 3942 2260
"g54" 697 555 176 784 738 3275 1019 912 1628 747
"g55" 1202 1866 2592 1470 2694 5590 3576 4385 3436 3850
"g56" 120 227 186 450 427 338 740 372 732 272
"g57" 14266 10761 10238 11427 13306 20008 15490 16785 30504 13184
"g58" 47 56 17 58 72 47 42 85 99 52
"g59" 644 909 871 978 1922 1487 1605 1769 1995 1283
"g60" 359 316 604 80 383 1025 817 951 1068 335
"g61" 8852 9039 13283 10450 14149 35526 24602 29376 37881 18406
"g62" 9 2 268 89 178 264 84 375 22 17
"g63" 271 825 499 321 800 2009 474 1488 1266 1167
"g64" 20768 20716 22260 41962 33500 48563 41092 71627 69496 24611
"g65" 13056 14535 14761 14374 19107 35686 24062 30545 33748 20702
"g66" 30 22 71 16 63 470 135 120 137 308
"g67" 48 105 77 68 100 337 208 201 282 123
"g68" 2662 5409 3795 4619 7203 12316 3628 7873 11266 7197
"g69" 1779 754 828 1599 785 3281 6375 1840 3477 26428
"g70" 14882 19414 16183 13598 19041 57161 46255 37319 61233 31809
"g71" 560 522 1698 1379 548 336 448 842 1653 2383
"g72" 1895 3944 2985 2042 881 4778 4785 3128 5769 4184
"g73" 137 296 93 42 122 308 165 235 117 183
"g74" 706 260 483 1123 1151 4002 2543 794 2667 661
"g75" 232 5276 2571 5096 763 659 11654 2723 27245 1456
"g76" 494 885 100 95 271 1054 286 184 108 1907
"g77" 27531 44730 33941 33913 50346 88923 72505 70216 109338 49747
"g78" 2853 5503 4500 2958 5240 13974 18143 12721 22815 8769
"g79" 7584 7448 3852 8741 12379 23010 13483 32820 23737 4434
"g80" 1589 5017 4636 2086 3972 9312 9829 7066 11411 9015
"g81" 20 39 34 4 27 131 117 29 84 34
"g82" 4 59 65 6 7 21 32 216 47 20
"g83" 5094 1533 5536 1260 7214 5729 6760 8706 13486 821
"g84" 195 114 135 32 130 453 509 712 99 180
"g85" 43001 44220 35292 28632 49317 247306 130831 171406 261472 115928
"g86" 176 209 178 121 118 390 1024 138 620 148
"g87" 68 0 13 0 0 0 0 0 0 0
"g88" 992 1869 1113 2573 2224 13072 6450 14094 10473 3895
"g89" 2298 4251 2069 1914 3230 3771 7389 2729 1638 3357
"g90" 160 289 55 28 24 180 331 723 602 45
"g91" 10 3 20 64 4 42 33 25 54 24
"g92" 41178 60122 31720 99853 166765 147858 147298 200271 235952 30136
"g93" 138 532 218 354 518 1352 992 1314 1168 720
"g94" 2278 2494 2057 973 2587 9373 7241 2757 5800 3206
"g95" 15568 17008 18706 18298 17532 74146 36720 75828 33540 34919
"g96" 127 258 595 172 469 1338 2383 1862 5457 791
"g97" 97 109 104 68 65 382 117 221 194 243
"g98" 3499 7002 2106 11654 21877 11387 4974 4474 13478 6964
"g99" 340 455 251 416 288 2763 434 786 1121 712
"g100" 64 124 193 85 243 1193 199 496 1471 284
"g101" 8320 5493 4892 4375 6573 13917 17301 18388 22599 7648
"g102" 69 125 248 96 89 547 263 519 2455 119
"g103" 756 1342 873 838 1169 3906 1367 1264 2953 573
"g104" 4270 2931 2782 2329 8370 3252 3916 7754 7476 3552
"g105" 67565 28786 103842 24982 101043 134643 138966 46357 200764 266926
"g106" 0 211 0 20 0 8 0 46 109 1
"g107" 221 336 98 288 139 498 105 926 411 891
"g108" 3169 3031 3894 5113 4605 8750 12923 7954 10041 5210
"g109" 190 212 167 100 154 393 614 633 249 114
"g110" 669 212 1594 406 1555 1680 2867 4816 2561 1791
"g111" 3 9 3 78 52 54 5 17 16 2
"g112" 0 16 0 12 532 0 0 0 10 6
"g113" 609 1865 1448 1170 2332 9874 6456 7640 6378 3554
"g114" 1699 2268 2274 2373 3155 12883 9152 9892 10839 6008
"g115" 4165 4073 7423 9317 4339 8805 10301 12895 17348 6266
"g116" 23168 38447 28873 24735 33213 56463 57219 40722 60136 43772
"g117" 115 136 124 141 122 345 341 231 393 116
