"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 852 627 439 1372 704 1550 923 404 3912 1352
"g2" 218 216 192 272 128 250 115 237 320 535
"g3" 3080 2468 3827 4304 2119 4170 2143 3232 5080 5732
"g4" 31427 16059 31905 35252 19172 35386 30173 33373 71657 37177
"g5" 77 72 92 7 0 2 0 0 9 34
"g6" 12766 5508 9670 10578 6945 46747 23767 29909 65465 41870
"g7" 28941 25363 10441 3012 14175 34625 20321 44554 62935 15650
"g8" 16738 16396 28247 41252 6751 16086 19101 25873 57192 33736
"g9" 2332 975 2804 1686 1295 3926 3220 3110 7893 3134
"g10" 304 250 85 446 119 364 328 228 198 100
"g11" 8170 4522 5781 5081 2687 16134 13023 13854 22337 23834
"g12" 2828 2083 2918 3398 1440 4357 3633 2918 5428 5162
"g13" 7344 13304 5460 12296 9980 14900 14428 22754 26506 11383
"g14" 2859 1662 1443 1612 986 1953 3605 3314 7669 4660
"g15" 2756 2910 5232 729 1134 31059 20368 753 593 5766
"g16" 7696 5616 3118 6062 4129 16140 9436 13144 15696 17858
"g17" 6985 13244 10932 2732 5891 7707 17342 24501 16866 18425
"g18" 1211 1292 2260 1618 541 3083 3738 5195 2921 4469
"g19" 27234 30237 31380 29645 15562 54571 24743 46230 48942 54258
"g20" 86 77 109 37 21 36 188 16 60 166
"g21" 10454 6948 7653 8284 5197 5968 7505 2354 2251 10562
"g22" 16042 6088 13148 11399 10346 29416 17221 33225 53509 35260
"g23" 43 3 49 31 37 116 136 66 165 329
"g24" 1404 3546 211 4164 1684 5776 4059 10714 5554 6212
"g25" 215 159 160 327 136 397 375 305 437 489
"g26" 23386 7107 19555 13504 6239 14627 14685 17869 39179 18652
"g27" 0 8 0 0 0 0 0 0 0 3
"g28" 6099 3787 4827 4872 3522 16529 9279 8106 20670 11469
"g29" 1381 620 1091 767 94 1289 1218 644 4910 2122
"g30" 1893 864 298 857 154 604 138 619 1103 432
"g31" 7705 6768 12378 7940 4168 9870 7836 21426 9556 40249
"g32" 7267 5336 4439 7037 3172 7575 5575 5017 8159 7817
"g33" 13092 13605 4643 9030 3002 19524 21350 12487 15489 15396
"g34" 9 9 23 2 11 6 65 65 39 27
"g35" 1714 789 733 744 901 1088 1295 1484 2228 1953
"g36" 45 617 1074 1553 285 1096 369 544 493 851
"g37" 3125 1865 1538 2280 813 1264 1754 2764 3991 2394
"g38" 2207 2373 1608 2417 1023 2063 2322 1671 3092 2357
"g39" 533 386 398 257 282 706 769 641 884 977
"g40" 7562 4893 2234 4682 5328 3966 9258 13705 24043 14869
"g41" 11553 5532 8656 5717 4340 15519 9577 11113 20120 18494
"g42" 613 722 910 336 2244 4225 2076 3891 3947 4928
"g43" 8 109 6 68 1 142 176 12 104 86
"g44" 388 272 376 208 201 837 462 657 640 812
"g45" 13116 12319 13109 15464 3750 52431 14683 27551 58123 57111
"g46" 1833 239 290 3778 286 12313 9303 2415 18474 708
"g47" 626 1243 1697 2016 1122 1496 2034 1521 2530 2291
"g48" 362 273 103 238 239 494 425 242 633 326
"g49" 1321 656 593 827 433 899 535 469 1256 910
"g50" 1753 1000 2540 1452 1356 9273 5179 5834 11237 6247
"g51" 105 64 106 100 118 192 85 421 126 371
"g52" 11340 4125 4002 4388 2355 11330 2973 8189 10690 9654
"g53" 17473 6441 8528 9555 5289 13424 15557 23727 28771 15949
"g54" 76 0 30 36 15 217 34 48 9 19
"g55" 4323 3717 3965 3931 3576 9319 7780 10550 16821 10651
"g56" 0 22 22 1 0 0 2 0 0 24
"g57" 101 27 131 94 36 81 106 92 142 223
"g58" 80512 38807 84814 49359 47114 107106 80010 152797 157467 159416
"g59" 82121 50623 31262 52083 40641 152328 69829 105078 167575 160216
"g60" 495 253 490 264 240 573 517 674 453 878
"g61" 14352 2965 9678 6983 2989 14868 8022 9193 15803 13849
"g62" 5124 5774 9130 11385 4461 9649 10414 8536 24328 21402
"g63" 0 15 0 0 0 0 0 50 0 36
"g64" 856 1165 1833 4279 748 670 620 6184 3065 302
"g65" 4781 3231 332 1514 1657 1642 986 958 4908 2501
"g66" 261 217 461 394 68 514 806 117 798 247
"g67" 632 282 384 645 243 461 360 1413 159 275
"g68" 172 142 1931 594 1777 1812 2268 505 6227 3972
"g69" 1406 2381 6442 3056 2538 2208 2005 567 7950 7067
"g70" 4 0 1 2 41 51 3 31 5 143
"g71" 47 1403 763 2866 129 2178 3153 3024 4080 2229
"g72" 321 240 592 264 191 698 351 1027 1255 555
"g73" 275 84 28 362 352 130 16 261 385 26
"g74" 151098 53823 71103 87153 27117 168343 84372 182722 310396 130931
"g75" 7580 3968 6480 6900 2514 7598 4640 7517 18345 12470
"g76" 551 442 337 467 160 596 779 856 1214 689
"g77" 777 943 934 1360 491 1473 1693 1284 2932 2781
"g78" 33 10 40 72 27 63 106 113 271 128
"g79" 4038 2130 2026 39 2317 1162 1642 3116 219 5544
"g80" 15597 22416 19224 27941 19111 23610 17974 24473 43601 23573
"g81" 7 273 504 301 70 8 122 514 244 670
"g82" 9983 9318 9145 11958 8366 16497 18829 32291 46352 24190
"g83" 522 392 795 586 169 1866 2903 1962 1327 1036
"g84" 4067 2044 2837 2747 1558 11403 5799 6889 19671 16413
"g85" 8116 4422 3191 3437 2914 7926 4985 4651 4929 5569
"g86" 386 322 383 318 170 419 355 391 694 588
"g87" 20 44 2 220 27 7 73 83 119 191
"g88" 1415 1116 1293 1782 988 5282 3694 4119 9856 4653
"g89" 194 105 33 136 91 118 38 365 199 172
"g90" 124 193 196 56 79 237 76 26 10 342
"g91" 34609 30271 42150 28826 28619 68981 59205 66359 106941 67275
"g92" 24141 19216 23982 37788 9887 50679 53148 68468 80340 73802
"g93" 753 410 695 202 182 309 461 2990 2407 2624
"g94" 2614 5170 1522 4155 1264 2517 5374 2724 5057 4031
"g95" 59 48 38 55 31 98 50 71 169 142
"g96" 95 79 99 158 40 134 235 120 139 375
"g97" 4700 1226 5072 3037 2265 22476 9837 14412 14902 7797
"g98" 259 277 359 414 144 1290 748 700 2425 1538
"g99" 179 321 657 466 73 425 414 277 1034 280
"g100" 6101 2452 6956 25911 5340 18209 26831 30191 120894 37590
"g101" 144 347 189 187 390 690 213 903 1114 546
"g102" 507 518 72 227 99 382 309 433 434 522
"g103" 101911 31251 69541 67022 30500 55903 44093 66103 124567 76000
"g104" 0 95 43 9 0 136 0 0 143 0
"g105" 43089 18591 4998 35828 17108 88887 134013 61304 135111 101462
"g106" 22 173 4 698 130 110 760 2 530 854
"g107" 590 380 283 179 98 514 763 747 1396 1558
"g108" 24 59 13 21 29 19 67 48 46 68
"g109" 81265 90133 115448 66408 117063 574624 209112 342035 215939 955135
"g110" 28 32 53 37 12 97 102 127 84 125
"g111" 17956 4381 7889 11052 6902 20093 11859 7145 18078 31542
"g112" 930 1228 551 532 350 650 841 877 1311 1135
"g113" 6076 5508 6175 4293 4304 13450 8836 11192 22089 8731
"g114" 1183 1239 521 1818 1417 974 987 338 2036 2405
"g115" 1948 825 147 408 170 564 1454 2851 1873 1381
"g116" 5508 889 3361 3627 683 7482 10255 4056 4193 21339
"g117" 2322 847 2880 2458 2330 10312 3626 3141 5714 14644
"g118" 6056 1425 2975 3432 108 22757 14214 14956 6201 2670
"g119" 10 163 52 664 1 372 167 8 825 227
"g120" 24 36 57 37 60 85 128 35 133 93
"g121" 15316 15234 17022 24836 13206 20577 20098 20027 52861 29669
"g122" 9422 13053 21959 11175 5601 24212 20917 44950 16346 30947
"g123" 29173 6694 13111 3007 5673 30813 48565 16070 86457 6129
"g124" 14120 5186 9426 6765 5617 13899 11067 5504 17161 14600
"g125" 4196 5876 8235 7913 4826 10861 9532 12568 21800 13608
"g126" 55 2904 7699 39746 3619 42486 5218 8261 101831 105220
"g127" 74 81 26 20 27 6 13 109 22 69
"g128" 4155 12815 4770 2257 2381 17191 13680 15961 8529 6578
"g129" 4635 3829 3816 3327 1836 2880 4837 2701 7072 5797
"g130" 32 28 93 21 14 25 16 147 45 88
"g131" 6392 4667 8197 5633 2939 14441 26797 33230 31241 15901
"g132" 11691 11325 9573 11530 7493 58231 20410 20838 25854 42387
"g133" 78066 64707 54970 6755 12709 161127 78703 70902 59544 58015
"g134" 298 2442 27 1388 158 371 145 331 2152 17
