"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 21153 48952 67275 21915 72948 125213 140523 203482 324347 178326
"g2" 62 73 56 32 68 200 153 388 355 90
"g3" 7237 12780 20960 3057 12631 199870 121203 78407 49393 129353
"g4" 8426 8450 18244 2453 5317 13948 35049 13341 32557 39252
"g5" 29678 52956 98881 42411 93456 192736 243721 157564 260012 160584
"g6" 1 36 172 0 31 23 484 2 17 633
"g7" 6035 13837 12093 9951 14763 4602 2415 7278 3771 10787
"g8" 38 61 27 30 99 66 240 130 163 42
"g9" 153 136 192 52 75 1014 207 300 488 218
"g10" 793 700 996 793 958 1200 1356 1263 1538 1151
"g11" 256 98 329 128 350 278 187 67 1147 423
"g12" 158 300 139 482 260 308 147 163 556 479
"g13" 1313 3090 5029 985 7299 8629 3696 6518 4128 5109
"g14" 395 68 326 0 117 28 15 263 363 231
"g15" 88 556 10 445 84 749 558 49 9 17
"g16" 19 87 92 36 164 16 117 102 102 80
"g17" 1183 3514 1727 446 1478 1285 2868 2850 557 1268
"g18" 69 229 41 1 0 1736 28 284 6 154
"g19" 15 34 104 15 50 22 81 7 63 17
"g20" 181 493 815 817 1172 2208 1369 886 2806 1546
"g21" 9850 18687 10978 13483 14516 24588 63219 49131 65588 31108
"g22" 207 426 348 239 146 1065 941 730 1289 342
"g23" 374821 216201 647509 366637 367406 1045105 392731 339932 757251 405989
"g24" 17380 22243 31917 12777 30030 48181 69584 29936 64344 33201
"g25" 14 22 60 65 21 134 84 85 103 28
"g26" 521 591 547 234 620 1594 1272 433 824 923
"g27" 5488 8458 946 2666 1894 6688 1539 3483 10900 13965
"g28" 4287 10275 8565 3603 7790 43188 28738 17910 40371 17381
"g29" 109 143 120 100 122 362 184 446 257 237
"g30" 7568 8753 11001 3577 18019 14523 15024 14089 13966 12123
"g31" 2616 1789 1326 1089 1393 1780 1202 3898 2560 1928
"g32" 46250 25622 55923 36383 49892 61063 81201 42213 133675 94970
"g33" 3424 4227 5231 4539 5030 11548 11398 10133 22491 7975
"g34" 162864 131190 248555 145898 319926 1580604 1703051 1725256 1751500 1591280
"g35" 38 79 80 14 335 80 113 184 56 761
"g36" 14 46 51 122 90 107 182 146 426 116
"g37" 65 23 13 0 131 275 107 134 8 206
"g38" 13481 15192 15813 13224 22575 38917 44221 50051 72262 31121
"g39" 4434 6166 9263 5881 12011 12907 18861 10631 17630 11973
"g40" 28482 22764 28614 13816 22654 53113 50160 58305 42267 44163
"g41" 83 49 130 273 60 48 68 364 83 166
"g42" 1434 1990 2337 1713 3070 2254 3140 2236 2237 2715
"g43" 94 50 58 1 15 2 81 143 13 34
"g44" 671 2851 2644 130 769 14833 9073 171 241 773
"g45" 271 753 429 466 643 1163 958 637 3515 1555
"g46" 998 641 982 495 1392 1955 2732 1501 1983 1176
"g47" 313 364 468 258 482 628 843 677 785 466
"g48" 2 37 28 13 35 29 165 66 160 64
"g49" 4245 7134 5438 3585 5847 11692 19553 8456 16970 8658
"g50" 11 5 0 0 54 30 2 5 3 72
"g51" 1564 4970 1932 1900 2496 13283 24124 5636 14086 15175
"g52" 2049 2005 959 1349 1768 2975 6599 4348 6619 5486
"g53" 4012 2470 5149 3255 4994 13283 10918 10716 15977 9925
"g54" 16085 12402 19231 12121 23252 28944 24096 18377 29906 22499
"g55" 29 61 83 89 123 200 65 53 2 16
"g56" 6279 6868 9003 6187 10143 13029 19523 15047 13627 12112
"g57" 39 1857 1095 1166 597 30 702 723 2883 1196
"g58" 508 94 401 1933 436 1566 1027 574 5250 677
"g59" 1117 1372 4367 1403 1466 9166 3078 3474 5090 3764
"g60" 925 1124 1631 2248 2749 2788 1358 2449 2823 2649
"g61" 1884 1522 2237 2908 3049 2992 5936 2967 4441 4086
"g62" 1702 2003 3598 2256 2308 3290 4847 3181 5663 4556
"g63" 392 224 466 206 3075 2906 1192 5959 1765 297
"g64" 418 306 348 259 730 1538 1274 1392 1402 938
"g65" 50 83 208 105 154 245 336 304 140 216
"g66" 19 139 28 157 34 36 33 85 191 36
"g67" 0 31 10 16 0 65 31 28 35 113
"g68" 332 350 553 286 869 524 780 675 674 566
"g69" 48 49 103 72 57 577 400 492 355 62
"g70" 6511 8297 7984 5610 8218 13717 17624 10006 22555 10280
